Местное время в Бохане;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
03.08.2020 5:00;15.фев;720.4;759.0;;94;Ветер, дующий с северо-северо-запада;1;;;100%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;40%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;;14.мар;;;;;;
03.08.2020 8:00;14.сен;720.9;759.6;;94;Ветер, дующий с северо-запада;1;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;14.июн;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;60%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;50.0;13.сен;10.0;12;Поверхность почвы влажная.;15.0;;
03.08.2020 11:00;18.апр;720.7;758.9;;79;Ветер, дующий с северо-запада;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;50.0;14.июн;;;;;;
03.08.2020 14:00;21.авг;720.3;757.9;;67;Ветер, дующий с западо-северо-запада;2;;;60%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;15.апр;;;;;;
03.08.2020 17:00;23.сен;719.8;757.3;;56;Ветер, дующий с северо-северо-запада;3;;;20–30%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;14.май;;;;;;
03.08.2020 20:00;21.авг;720.1;757.8;;63;Ветер, дующий с севера;1;;;40%.; ;;;;24.июн;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;14.май;Осадков нет;12;;;;
03.08.2020 23:00;18.янв;720.5;758.8;;82;Ветер, дующий с северо-северо-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;;15.0;;;;;;
04.08.2020 2:00;13.авг;720.3;759.1;;96;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;;13.янв;;;;;;
04.08.2020 5:00;11.май;720.1;759.3;;97;Ветер, дующий с юга;1;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;4.0;11.янв;;;;;;
04.08.2020 11:00;21.июн;719.9;757.6;;60;Ветер, дующий с северо-северо-востока;1;;;70 – 80%.;Состояние неба в общем не изменилось. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;13.май;;;;;;
04.08.2020 14:00;23.май;719.2;756.7;;42;Ветер, дующий с запада;1;;;100%.;Состояние неба в общем не изменилось. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";40%.;600-1000;Высококучевые башенкообразные или хлопьевидные.;;50.0;09.июл;;;;;;
04.08.2020 17:00;25.0;718.4;755.7;;35;Ветер, дующий с северо-северо-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;08.май;;;;;;
04.08.2020 20:00;22.0;718.5;756.1;;59;Ветер, дующий с востоко-юго-востока;1;;;20–30%.; ;;;;25.июл;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;13.июн;Осадков нет;12;;;;
04.08.2020 23:00;14.июл;718.9;757.5;;92;Ветер, дующий с юго-юго-востока;2;;;Облаков нет.; ;;;;;;;;;;;13.апр;;;;;;
05.08.2020 2:00;12.0;719.0;758.0;;96;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;11.мар;;;;;;
05.08.2020 5:00;10.фев;718.7;758.0;;95;Ветер, дующий с юго-юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;09.май;;;;;;
05.08.2020 8:00;13.сен;718.9;757.6;;81;Ветер, дующий с востока;2;;;Облаков нет.; ;;;09.сен;;;;;;;50.0;10.июн;Осадков нет;12;Поверхность почвы влажная.;10.0;;
05.08.2020 11:00;23.мар;718.1;755.5;;51;Ветер, дующий с юго-востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;12.июл;;;;;;
05.08.2020 14:00;26.апр;716.8;753.8;;45;Ветер, дующий с юго-востока;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;50.0;13.апр;;;;;;
05.08.2020 17:00;26.янв;716.0;753.0;;45;Ветер, дующий с юго-востока;3;;;100%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;50.0;13.фев;;;;;;
05.08.2020 20:00;23.янв;716.3;753.7;;64;Ветер, дующий с юго-юго-востока;1;;;100%.; ;;;;27.апр;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;15.авг;Осадков нет;12;;;;
05.08.2020 23:00;19.сен;716.5;754.3;;78;Ветер, дующий с юга;1;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;4.0;15.сен;;;;;;
06.08.2020 2:00;17.фев;716.5;754.6;;92;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;;15.сен;;;;;;
06.08.2020 5:00;15.0;715.9;754.3;;94;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;;14.янв;;;;;;
06.08.2020 8:00;16.0;715.3;753.5;;91;Ветер, дующий с юга;1;;;100%.; ;;;14.сен;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;20–30%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;14.июн;Следы осадков;12;Поверхность почвы влажная.;15.0;;
06.08.2020 11:00;16.янв;715.0;753.2;;96;Ветер, дующий с северо-северо-востока;1;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;10.0;15.май;;;;;;
06.08.2020 14:00;17.янв;714.8;752.8;;95;Ветер, дующий с севера;1;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;10.0;16.мар;;;;;;
06.08.2020 17:00;16.июл;715.0;753.1;;95;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;10.0;15.сен;;;;;;
06.08.2020 20:00;16.май;715.5;751.4;;92;Ветер, дующий с северо-северо-запада;2;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;17.апр;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;70 – 80%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;50.0;15.фев;29.0;12;;;;
06.08.2020 23:00;15.сен;715.9;754.1;;90;Ветер, дующий с севера;1;;;100%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;60%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;;14.мар;;;;;;
07.08.2020 2:00;16.0;715.8;754.0;;88;Ветер, дующий с северо-северо-запада;1;;;100%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;60%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;;14.0;;;;;;
07.08.2020 5:00;15.янв;715.6;754.0;;89;Ветер, дующий с северо-востока;1;;;100%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;40%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;;13.фев;;;;;;
07.08.2020 8:00;15.сен;715.8;754.1;;84;Ветер, дующий с северо-северо-запада;1;;;70 – 80%.; ;;;14.авг;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;13.янв;Осадков нет;12;Поверхность почвы влажная.;15.0;;
07.08.2020 11:00;18.мар;715.9;754.0;;69;Ветер, дующий с северо-северо-запада;3;;;70 – 80%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;12.май;;;;;;
07.08.2020 14:00;20.янв;715.9;753.6;;61;Ветер, дующий с северо-запада;3;;;70 – 80%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;12.фев;;;;;;
07.08.2020 17:00;19.май;715.6;753.4;;64;Ветер, дующий с северо-северо-запада;2;;;60%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;12.май;;;;;;
07.08.2020 20:00;18.авг;715.8;753.7;;67;Ветер, дующий с северо-запада;2;;;100%.; ;;;;22.фев;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;12.апр;Осадков нет;12;;;;
07.08.2020 23:00;13.май;715.8;754.4;;91;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;12.янв;;;;;;
08.08.2020 2:00;11.авг;715.2;754.0;;96;Ветер, дующий с юга;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;;11.янв;;;;;;
08.08.2020 5:00;13.апр;714.2;752.8;;94;Ветер, дующий с юго-юго-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;;12.май;;;;;;
08.08.2020 8:00;14.мар;713.5;751.9;;94;Ветер, дующий с северо-северо-востока;1;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;10.сен;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;10.0;13.апр;2.0;12;Поверхность почвы влажная.;11.0;;
08.08.2020 11:00;16.янв;713.2;751.3;;90;Ветер, дующий с северо-запада;2;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;40%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;50.0;14.апр;;;;;;
08.08.2020 14:00;16.мар;713.5;751.5;;95;Ветер, дующий с западо-северо-запада;3;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;10.0;15.май;;;;;;
08.08.2020 17:00;17.сен;713.5;751.3;;92;Ветер, дующий с северо-запада;1;;;100%.;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;20–30%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;16.июн;;;;;;
08.08.2020 20:00;18.июн;713.8;751.6;;88;Ветер, дующий с северо-запада;1;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;19.апр;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые башенкообразные или хлопьевидные.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;50.0;16.май;6.0;12;;;;
08.08.2020 23:00;17.0;713.9;751.9;;81;Ветер, дующий с западо-северо-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;13.июл;;;;;;
09.08.2020 2:00;16.янв;713.8;752.0;;80;Ветер, дующий с западо-северо-запада;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;12.июл;;;;;;
09.08.2020 5:00;14.май;714.1;752.5;;88;Ветер, дующий с запада;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;12.июн;;;;;;
09.08.2020 8:00;16.мар;714.7;752.9;;79;Ветер, дующий с северо-запада;2;;;60%.; ;;;14.янв;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;12.июн;Осадков нет;12;Поверхность почвы влажная.;12.0;;
09.08.2020 11:00;19.авг;714.8;752.5;;65;Ветер, дующий с северо-запада;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;50.0;13.янв;;;;;;
09.08.2020 14:00;22.авг;714.5;751.8;;55;Ветер, дующий с западо-северо-запада;4;;10;100%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;50.0;13.фев;;;;;;
09.08.2020 17:00;24.сен;713.9;751.0;;42;Ветер, дующий с северо-северо-запада;4;;11;40%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;11.0;;;;;;
09.08.2020 20:00;22.фев;714.4;751.8;;50;Штиль, безветрие;0;;;60%.; ;;;;25.мар;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;11.мар;Осадков нет;12;;;;
09.08.2020 23:00;17.авг;714.8;752.8;;65;Ветер, дующий с запада;3;;;; ;;;;;;;;;;;11.янв;;;;;;
10.08.2020 2:00;16.фев;715.1;753.3;;75;Ветер, дующий с северо-востока;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;;11.авг;;;;;;
10.08.2020 5:00;14.июн;714.8;753.3;;82;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";;;11.июн;;;;;;
10.08.2020 8:00;15.янв;715.3;753.7;;84;Ветер, дующий с запада;1;;;100%.; ;;;14.мар;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;12.апр;Осадков нет;12;Поверхность почвы влажная.;13.0;;
10.08.2020 11:00;18.фев;715.5;753.4;;71;Ветер, дующий с западо-северо-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;50.0;12.сен;;;;;;
10.08.2020 14:00;22.мар;715.2;752.7;;42;Ветер, дующий с северо-северо-запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;50.0;08.авг;;;;;;
10.08.2020 17:00;23.фев;715.0;752.2;;51;Ветер, дующий с северо-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;12.май;;;;;;
10.08.2020 20:00;22.мар;715.1;752.5;;61;Штиль, безветрие;0;;;100%.; ;;;;24.янв;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;50.0;14.апр;Осадков нет;12;;;;
10.08.2020 23:00;16.апр;715.8;754.0;;83;Ветер, дующий с юго-юго-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;;13.май;;;;;;
11.08.2020 2:00;13.июл;715.9;754.6;;94;Ветер, дующий с юга;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;;12.авг;;;;;;
11.08.2020 5:00;11.июн;716.2;755.1;;97;Ветер, дующий с юго-юго-востока;1;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;;;;;;;;0.2;11.фев;;;;;;
11.08.2020 8:00;12.авг;716.8;755.5;;98;Ветер, дующий с востоко-юго-востока;1;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;11.апр;;;;;;;0.2;12.май;Осадков нет;12;Поверхность почвы влажная.;12.0;;
11.08.2020 11:00;22.0;716.6;754.1;;63;Ветер, дующий с юга;2;;;Облаков нет.;Состояние неба в общем не изменилось. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;;;;;;;;50.0;14.май;;;;;;
11.08.2020 14:00;25.авг;715.7;752.7;;43;Ветер, дующий с юго-запада;1;;;60%.;Состояние неба в общем не изменилось. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;12.фев;;;;;;
11.08.2020 17:00;21.мар;715.9;753.5;;71;Ветер, дующий с юга;1;;;100%.; ;;;;27.фев;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;50.0;15.июл;Осадков нет;12;;;;
11.08.2020 20:00;21.мар;715.9;753.5;;71;Ветер, дующий с юга;1;;;100%.; ;;;;27.фев;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;50.0;15.июл;Осадков нет;12;;;;
11.08.2020 23:00;15.май;716.6;755.0;;92;Ветер, дующий с юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;14.фев;;;;;;
12.08.2020 2:00;13.апр;716.5;755.2;;95;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;12.июн;;;;;;
12.08.2020 5:00;11.июн;716.4;755.3;;97;Ветер, дующий с юга;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;11.янв;;;;;;
12.08.2020 8:00;13.авг;716.4;755.2;;88;Штиль, безветрие;0;;;20–30%.; ;;;11.янв;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;11.авг;Осадков нет;12;Cухая (без трещин, заметного количества пыли или сыпучего песка);11.0;;
