Местное время в Баяндае;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
07.03.2019 23:00;-2.5;699.1;768.9;01.фев;57;Ветер, дующий с севера;1;;;100%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-9.9;;;;;;
08.03.2019 2:00;-5.0;699.8;770.4;0.7;60;Ветер, дующий с севера;4;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-11.7;;;;;;
08.03.2019 5:00;-7.6;700.4;771.7;0.6;69;Ветер, дующий с севера;4;;;Облаков нет.; ;;;;;;;;;;50.0;-12.4;;;;;;
08.03.2019 8:00;-9.1;701.5;773.4;01.янв;73;Ветер, дующий с севера;2;;;Облаков нет.; ;;;-10.7;;;;;;;50.0;-13.1;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;13.0
08.03.2019 11:00;-8.4;702.4;774.2;0.9;67;Ветер, дующий с юго-юго-запада;2;;;Облаков нет.; ;;;;;;;;;;50.0;-13.5;;;;;;
08.03.2019 14:00;-4.6;701.9;772.6;-0.5;55;Ветер, дующий с юго-юго-запада;3;;;Облаков нет.; ;;;;;;;;;;50.0;-12.4;;;;;;
08.03.2019 17:00;-7.1;700.3;771.5;-1.6;64;Ветер, дующий с западо-юго-запада;1;;;Облаков нет.; ;;;;-3.7;;;;;;50.0;-12.9;Осадков нет;12;;;;
08.03.2019 20:00;-7.1;700.3;771.5;0.0;64;Ветер, дующий с западо-юго-запада;1;;;Облаков нет.; ;;;;-3.7;;;;;;50.0;-12.9;Осадков нет;12;;;;
08.03.2019 23:00;-8.8;699.7;771.3;-0.6;63;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;50.0;-14.6;;;;;;
09.03.2019 2:00;-9.2;698.9;770.6;-0.8;62;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;-15.3;;;;;;
09.03.2019 5:00;-12.2;698.2;770.6;-0.7;77;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;-15.4;;;;;;
09.03.2019 8:00;-11.5;698.2;770.4;0.0;70;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;-12.7;;;;;;;50.0;-15.9;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;13.0
09.03.2019 11:00;-7.7;698.2;769.3;0.0;53;Ветер, дующий с юго-запада;2;;;Облаков нет.; ;;;;;;;;;;50.0;-15.8;;;;;;
09.03.2019 14:00;-3.7;697.1;767.0;-1.1;60;Ветер, дующий с юго-запада;3;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-10.4;;;;;;
09.03.2019 17:00;-2.9;695.8;765.4;-1.3;67;Ветер, дующий с юго-юго-запада;3;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-8.3;;;;;;
09.03.2019 20:00;-4.5;695.3;765.3;-0.5;70;Ветер, дующий с западо-юго-запада;1;;;70 – 80%.; ;;;;-1.3;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-9.2;Осадков нет;12;;;;
09.03.2019 23:00;-2.8;695.3;764.8;0.0;44;Ветер, дующий с западо-северо-запада;2;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-13.6;;;;;;
10.03.2019 2:00;-3.2;696.5;766.3;01.фев;58;Ветер, дующий с северо-северо-запада;4;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-10.3;;;;;;
10.03.2019 5:00;-5.8;697.2;767.8;0.7;59;Ветер, дующий с северо-запада;3;;13;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-12.6;;;;;;
10.03.2019 8:00;-9.6;698.2;769.9;1.0;66;Ветер, дующий с запада;1;;;90  или более, но не 100%; ;;;-9.6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;10%  или менее, но не 0;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-14.9;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;13.0
10.03.2019 11:00;-6.7;698.1;769.0;-0.1;50;Ветер, дующий с запада;3;;;100%.; ;;;-11.1;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;-15.6;;;;;;
10.03.2019 14:00;-5.2;697.2;767.5;-0.9;45;Ветер, дующий с запада;3;;;100%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";50.0;-15.3;;;;;;
10.03.2019 17:00;-6.1;697.6;768.2;0.4;45;Ветер, дующий с северо-запада;5;;10;90  или более, но не 100%; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-16.1;;;;;;
10.03.2019 20:00;-9.1;698.8;770.5;01.фев;74;Ветер, дующий с запада;2;;11;Облаков нет.;Облака в целом рассеиваются или становятся менее развитыми. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;-5.1;;;;;;50.0;-13.0;Следы осадков;12;;;;
10.03.2019 23:00;-14.5;699.9;773.2;01.янв;90;Ветер, дующий с юго-запада;2;;;Облаков нет.; ;;;;;;;;;;50.0;-15.8;;;;;;
11.03.2019 2:00;-13.7;700.6;773.8;0.7;90;Ветер, дующий с запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-15.0;;;;;;
11.03.2019 5:00;-14.1;700.5;773.8;-0.1;95;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;;;;;;;50.0;-14.7;;;;;;
11.03.2019 8:00;-17.0;700.9;775.0;0.4;100;Ветер, дующий с западо-юго-запада;1;;;Облаков нет.; ;;;-18.7;;;;;;;50.0;-17.0;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;13.0
11.03.2019 11:00;-12.7;701.4;774.3;0.5;95;Ветер, дующий с юго-юго-запада;3;;;Облаков нет.; ;;;-18.7;;;;;;;50.0;-13.3;;;;;;
11.03.2019 14:00;-6.7;700.4;771.5;-1.0;67;Ветер, дующий с юго-юго-запада;5;;;50%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-11.9;;;;;;
11.03.2019 17:00;-4.5;699.5;769.9;-0.9;54;Ветер, дующий с запада;2;;;70 – 80%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-12.5;;;;;;
11.03.2019 20:00;-7.7;699.1;770.2;-0.4;73;Ветер, дующий с запада;2;;;90  или более, но не 100%; ;;;;-3.9;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-11.7;Осадков нет;12;;;;
11.03.2019 23:00;-9.5;698.2;769.9;-0.9;71;Ветер, дующий с запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-13.8;;;;;;
12.03.2019 2:00;-9.7;697.6;769.3;-0.6;68;Ветер, дующий с юго-запада;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-14.5;;;;;;
12.03.2019 5:00;-9.3;696.7;768.1;-0.9;65;Штиль, безветрие;0;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-14.7;;;;;;
12.03.2019 8:00;-8.6;696.5;767.8;-0.2;77;Штиль, безветрие;0;;;100%.; ;;;-11.9;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые башенкообразные или хлопьевидные.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-11.9;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;13.0
12.03.2019 11:00;-5.9;696.4;766.9;-0.1;67;Ветер, дующий с юго-юго-запада;2;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;-11.2;;;;;;
12.03.2019 14:00;-2.9;696.3;765.9;-0.1;67;Ветер, дующий с юго-юго-запада;3;;;90  или более, но не 100%; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;70 – 80%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-8.2;;;;;;
12.03.2019 17:00;1.0;696.3;764.8;0.0;43;Ветер, дующий с западо-северо-запада;4;;11;90  или более, но не 100%; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;70 – 80%.;600-1000;Высококучевые башенкообразные или хлопьевидные.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-10.2;;;;;;
12.03.2019 20:00;-1.8;697.3;766.7;1.0;53;Ветер, дующий с запада;2;;;100%.; ;;;;01.май;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;-10.2;Осадков нет;12;;;;
12.03.2019 23:00;-4.7;698.0;768.3;0.7;67;Ветер, дующий с запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-10.0;;;;;;
13.03.2019 2:00;-6.2;699.2;770.0;01.фев;71;Ветер, дующий с запада;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-10.7;;;;;;
13.03.2019 5:00;-11.3;699.4;771.7;0.2;85;Ветер, дующий с юго-юго-запада;2;;;Облаков нет.; ;;;;;;;;;;50.0;-13.3;;;;;;
13.03.2019 8:00;-9.3;699.8;771.6;0.4;86;Ветер, дующий с запада;1;;;100%.; ;;;-11.3;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-11.3;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;13.0
13.03.2019 11:00;-7.7;700.2;771.5;0.4;77;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;50.0;-11.0;;;;;;
13.03.2019 14:00;-2.9;700.0;769.9;-0.2;74;Ветер, дующий с юго-юго-запада;5;;;100%.;Снег с перерывами слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;20.0;-6.9;;;;;;
13.03.2019 17:00;-1.4;699.7;769.3;-0.3;72;Ветер, дующий с западо-юго-запада;3;;;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Снег и/или другие виды твердых осадков;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;20.0;-5.8;;;;;;
13.03.2019 20:00;-3.0;700.1;770.2;0.4;95;Ветер, дующий с западо-юго-запада;2;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Снег и/или другие виды твердых осадков;;-0.3;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20.0;-3.7;Следы осадков;12;;;;
13.03.2019 23:00;-4.1;700.6;771.0;0.5;99;Ветер, дующий с юго-запада;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20.0;-4.2;;;;;;
14.03.2019 2:00;-2.8;701.2;771.2;0.6;58;Ветер, дующий с севера;3;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;100%.;600-1000;;;50.0;-10.1;;;;;;
14.03.2019 5:00;-5.0;701.2;771.8;0.0;63;Ветер, дующий с северо-северо-востока;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-11.0;;;;;;
14.03.2019 8:00;-7.6;701.5;772.9;0.3;89;Штиль, безветрие;0;;;90  или более, но не 100%;Дымка. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-7.7;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4.0;-9.1;Следы осадков;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;13.0
14.03.2019 11:00;-4.4;700.9;771.4;-0.6;74;Ветер, дующий с юга;1;;;100%.; ;;;-8.4;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-8.4;;;;;;
14.03.2019 14:00;-1.8;699.6;769.3;-1.3;72;Ветер, дующий с запада;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;10.0;-6.3;;;;;;
14.03.2019 17:00;-0.9;698.2;767.5;-1.4;82;Ветер, дующий с востоко-северо-востока;1;;;100%.;Облака в целом образовывались или развивались. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-3.7;;;;;;
14.03.2019 20:00;-2.3;697.6;767.2;-0.6;88;Ветер, дующий с западо-северо-запада;1;;;100%.;Облака в целом рассеиваются или становятся менее развитыми. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;-0.2;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;50.0;-4.1;Следы осадков;12;;;;
14.03.2019 23:00;-1.1;697.6;766.9;0.0;90;Ветер, дующий с западо-юго-запада;2;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;20.0;-2.5;;;;;;
15.03.2019 2:00;-0.6;697.2;766.3;-0.4;97;Ветер, дующий с запада;3;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;10.0;-1.0;;;;;;
15.03.2019 5:00;-1.3;697.5;766.7;0.3;91;Ветер, дующий с западо-юго-запада;2;;;20–30%.;Облака в целом рассеиваются или становятся менее развитыми. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-2.6;;;;;;
15.03.2019 8:00;-1.9;697.9;767.4;0.4;94;Ветер, дующий с запада;3;;;100%.;Облака в целом образовывались или развивались. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;-3.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-2.8;0.9;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;13.0
15.03.2019 11:00;0.4;698.5;767.5;0.6;64;Ветер, дующий с западо-северо-запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-5.7;;;;;;
15.03.2019 14:00;0.5;698.1;766.9;-0.4;74;Ветер, дующий с запада;4;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-3.6;;;;;;
15.03.2019 17:00;0.7;697.5;766.2;-0.6;79;Ветер, дующий с западо-юго-запада;3;;;100%.;Снег с перерывами слабый в срок наблюдения. ;Дождь со снегом или другими видами твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;20.0;-2.6;;;;;;
15.03.2019 20:00;0.2;697.9;766.7;0.4;78;Ветер, дующий с западо-юго-запада;1;;;100%.;Облака в целом образовывались или развивались. ;Дождь со снегом или другими видами твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;01.май;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;100%.;600-1000;;;20.0;-3.2;0.2;12;;;;
15.03.2019 23:00;-1.5;697.5;766.8;-0.4;96;Ветер, дующий с запада;1;;;100%.; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;10.0;-2.1;;;;;;
16.03.2019 2:00;-2.6;697.3;766.9;-0.2;100;Ветер, дующий с запада;1;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;2.0;-2.6;;;;;;
16.03.2019 5:00;-1.6;696.7;765.9;-0.6;98;Штиль, безветрие;0;;;100%.;Дымка. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;2.0;-1.9;;;;;;
16.03.2019 8:00;-1.8;696.2;765.4;-0.5;100;Ветер, дующий с востока;1;;;100%.;Дымка. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение всего соответствующего периода.;-3.8;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;4.0;-1.8;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;13.0
16.03.2019 11:00;02.фев;695.0;763.1;-1.2;75;Ветер, дующий с юго-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;-1.9;;;;;;
16.03.2019 14:00;04.май;693.7;761.1;-1.3;64;Ветер, дующий с юго-юго-запада;3;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-1.8;;;;;;
16.03.2019 17:00;07.сен;692.1;758.5;-1.6;51;Ветер, дующий с западо-юго-запада;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-1.8;;;;;;
16.03.2019 20:00;02.июн;691.8;759.5;-0.3;70;Ветер, дующий с юга;1;;;Облаков нет.; ;;;;07.сен;;;;;;50.0;-2.4;Осадков нет;12;;;;
16.03.2019 23:00;01.мар;691.0;758.9;-0.8;58;Ветер, дующий с юго-запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-6.2;;;;;;
17.03.2019 2:00;0.0;690.5;758.8;-0.5;61;Ветер, дующий с юго-запада;2;;;Облаков нет.; ;;;;;;;;;;50.0;-6.8;;;;;;
17.03.2019 5:00;-1.6;689.6;758.2;-0.9;70;Ветер, дующий с юго-запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-6.5;;;;;;
17.03.2019 8:00;-0.6;689.3;757.6;-0.3;67;Ветер, дующий с западо-юго-запада;3;;;90  или более, но не 100%; ;;;-3.5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-6.1;Осадков нет;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;9.0
