Местное время в Токме;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
16.04.2018 20:00;03.авг;716.7;756.4;-0.1;50;Ветер, дующий с юго-юго-запада;1;;;100%.; ;;;;04.мар;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-5.8;Осадков нет;12;;;;
16.04.2018 23:00;-0.8;716.2;756.4;-0.5;74;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;-5.0;;;;;;
17.04.2018 2:00;-2.9;715.3;755.9;-0.9;80;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;-5.9;;;;;;
17.04.2018 5:00;-0.6;714.8;755.0;-0.5;74;Ветер, дующий с юго-юго-запада;1;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;-4.7;;;;;;
17.04.2018 8:00;0.0;714.4;754.5;-0.4;76;Ветер, дующий с юго-юго-запада;1;;;100%.; ;;;-3.1;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;50.0;-3.7;Осадков нет;12;;;Неровный слой слежавшегося или мокрого снега покрывает почву полностью.;33.0
17.04.2018 11:00;07.сен;714.1;753.0;-0.3;40;Ветер, дующий с юго-юго-запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-5.0;;;;;;
17.04.2018 14:00;10.июн;712.3;750.7;-1.8;28;Ветер, дующий с юго-юго-запада;5;;;100%.; ;;;;;Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-7.2;;;;;;
17.04.2018 17:00;11.0;711.3;749.6;-1.0;28;Ветер, дующий с юго-юго-запада;2;;;70 – 80%.; ;;;;;Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-6.8;;;;;;
17.04.2018 20:00;08.май;711.7;750.4;0.4;29;Ветер, дующий с западо-юго-запада;5;;;100%.; ;;;;11.мар;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";40%.;600-1000;Высокослоистые просвечивающие.;;50.0;-8.6;Осадков нет;12;;;;
17.04.2018 23:00;03.сен;711.7;751.2;0.0;53;Ветер, дующий с юга;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-4.8;;;;;;
18.04.2018 2:00;02.сен;712.0;751.5;0.3;83;Ветер, дующий с юго-юго-запада;5;;;70 – 80%.;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;0.2;;;;;;
18.04.2018 5:00;-0.6;713.3;753.4;01.мар;76;Ветер, дующий с юго-запада;3;;;60%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-4.4;;;;;;
18.04.2018 8:00;-0.7;712.9;753.0;-0.4;68;Ветер, дующий с юго-запада;1;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-2.3;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-5.9;0.3;12;;;Неровный слой слежавшегося или мокрого снега покрывает почву полностью.;23.0
18.04.2018 11:00;-0.5;713.1;753.1;0.2;61;Ветер, дующий с западо-юго-запада;3;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-7.2;;;;;;
18.04.2018 14:00;0.2;713.8;753.7;0.7;42;Ветер, дующий с западо-юго-запада;7;10;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-11.2;;;;;;
18.04.2018 17:00;0.5;715.4;755.5;01.июн;43;Ветер, дующий с западо-юго-запада;6;;;90  или более, но не 100%; ;;;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;60%.;600-1000;Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).;Перисто-слоистые, покрывающие все небо.;50.0;-10.7;;;;;;
18.04.2018 20:00;-0.4;717.3;757.6;01.сен;44;Ветер, дующий с запада;4;;;40%.; ;;;;0.7;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-11.2;Следы осадков;12;;;;
18.04.2018 23:00;-2.3;719.1;759.7;01.авг;48;Ветер, дующий с западо-юго-запада;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;;-12.0;;;;;;
19.04.2018 2:00;-4.1;720.4;761.4;01.мар;62;Ветер, дующий с юго-запада;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;;-10.4;;;;;;
19.04.2018 5:00;-6.3;720.7;762.1;0.3;66;Ветер, дующий с юго-запада;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;;-11.7;;;;;;
19.04.2018 8:00;-4.5;721.6;762.7;0.9;58;Ветер, дующий с юго-запада;2;;;70 – 80%.; ;;;-6.7;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-11.5;Осадков нет;12;;;Неровный слой слежавшегося или мокрого снега покрывает почву полностью.;23.0
19.04.2018 11:00;-3.2;721.9;763.0;0.3;49;Ветер, дующий с западо-юго-запада;5;;;70 – 80%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-12.5;;;;;;
19.04.2018 14:00;-2.4;721.9;762.7;0.0;55;Ветер, дующий с запада;3;;;70 – 80%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-10.2;;;;;;
19.04.2018 17:00;-0.8;721.9;762.6;0.0;49;Ветер, дующий с запада;4;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-10.4;;;;;;
19.04.2018 20:00;-2.0;722.2;763.0;0.3;53;Ветер, дующий с запада;1;;;40%.; ;;;;-0.5;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-10.5;Следы осадков;12;;;;
19.04.2018 23:00;-6.0;723.1;764.7;0.9;54;Ветер, дующий с запада;1;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;10%  или менее, но не 0;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;;-13.9;;;;;;
20.04.2018 2:00;-9.6;724.0;766.0;0.9;72;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-13.7;;;;;;
20.04.2018 5:00;-12.6;725.3;767.2;01.мар;88;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-14.2;;;;;;
20.04.2018 8:00;-12.2;725.8;768.5;0.5;90;Штиль, безветрие;0;;;Облаков нет.; ;;;-15.4;;;;;;;50.0;-13.5;Осадков нет;12;;;Неровный слой слежавшегося или мокрого снега покрывает почву полностью.;23.0
20.04.2018 11:00;-1.5;726.2;767.2;0.4;44;Ветер, дующий с запада;2;;;60%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-12.2;;;;;;
20.04.2018 14:00;01.апр;725.8;766.3;-0.4;39;Ветер, дующий с западо-юго-запада;2;;;60%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-11.3;;;;;;
20.04.2018 17:00;03.янв;725.0;765.3;-0.8;32;Ветер, дующий с западо-юго-запада;1;;;10%  или менее, но не 0; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-12.0;;;;;;
20.04.2018 20:00;02.мар;725.0;765.3;0.0;35;Штиль, безветрие;0;;;100%.; ;;;;03.май;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";50.0;-11.9;Осадков нет;12;;;;
20.04.2018 23:00;-5.3;725.5;767.1;0.5;61;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-11.8;;;;;;
21.04.2018 2:00;-9.8;726.1;768.4;0.6;78;Штиль, безветрие;0;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-12.9;;;;;;
21.04.2018 5:00;-11.7;726.8;769.6;0.7;95;Штиль, безветрие;0;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-12.3;;;;;;
21.04.2018 8:00;-8.1;727.0;769.0;0.2;84;Штиль, безветрие;0;;;40%.; ;;;-12.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-10.4;Осадков нет;12;;;Неровный слой слежавшегося или мокрого снега покрывает почву полностью.;23.0
21.04.2018 11:00;5.0;726.7;766.7;-0.3;31;Ветер, дующий с юго-юго-запада;5;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.;50.0;-11.0;;;;;;
21.04.2018 14:00;7.0;726.0;765.7;-0.7;25;Ветер, дующий с юго-юго-запада;6;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-12.0;;;;;;
21.04.2018 17:00;07.авг;724.9;764.5;-1.1;23;Ветер, дующий с юго-запада;6;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-12.0;;;;;;
21.04.2018 20:00;07.апр;724.6;764.2;-0.3;25;Ветер, дующий с юго-юго-запада;5;;;100%.; ;;;;08.янв;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-11.7;Осадков нет;12;;;;
21.04.2018 23:00;05.янв;724.6;764.6;0.0;31;Ветер, дующий с юго-юго-запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-10.8;;;;;;
22.04.2018 2:00;02.май;732.1;764.8;07.май;59;Ветер, дующий с юго-юго-запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перисто-слоистые, покрывающие все небо.;;-4.8;;;;;;
22.04.2018 5:00;04.июн;724.2;764.2;-7.9;41;Ветер, дующий с юго-запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;;-7.7;;;;;;
22.04.2018 8:00;05.май;724.7;764.5;0.5;43;Ветер, дующий с юго-юго-запада;1;;;100%.; ;;;02.фев;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;50.0;-6.1;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.;20.0
22.04.2018 11:00;08.май;724.5;763.9;-0.2;39;Ветер, дующий с юго-запада;1;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-4.8;;;;;;
22.04.2018 14:00;12.июн;723.1;761.8;-1.4;30;Ветер, дующий с юго-запада;4;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;50.0;-4.5;;;;;;
22.04.2018 17:00;13.0;722.2;760.9;-0.9;24;Ветер, дующий с юго-запада;5;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;;50.0;-7.0;;;;;;
22.04.2018 20:00;12.май;721.4;760.0;-0.8;29;Ветер, дующий с юго-запада;2;;;20–30%.; ;;;;13.мар;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-5.2;Осадков нет;12;;;;
22.04.2018 23:00;0.9;720.7;761.1;-0.7;75;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-3.1;;;;;;
23.04.2018 2:00;0.1;719.1;759.3;-1.6;79;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-3.2;;;;;;
23.04.2018 5:00;9.0;717.1;756.1;-2.0;35;Ветер, дующий с юга;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;;-5.6;;;;;;
23.04.2018 8:00;09.июн;716.8;755.7;-0.3;40;Ветер, дующий с юго-запада;4;;;60%.; ;;;-0.2;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-3.5;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.;18.0
23.04.2018 11:00;12.фев;717.5;755.9;0.7;44;Ветер, дующий с западо-юго-запада;6;;;60%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;50.0;0.1;;;;;;
23.04.2018 14:00;12.апр;719.0;757.6;01.май;39;Ветер, дующий с юго-запада;12;17;;40%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-1.3;;;;;;
23.04.2018 17:00;12.июн;720.5;759.1;01.май;32;Ветер, дующий с запада;7;;;20–30%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-3.7;;;;;;
23.04.2018 20:00;08.авг;722.0;761.3;01.май;36;Ветер, дующий с запада;1;;;Облаков нет.; ;;;;12.сен;;;;;;50.0;-5.6;Осадков нет;12;;;;
23.04.2018 23:00;-0.1;723.2;763.8;01.фев;49;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-9.6;;;;;;
24.04.2018 2:00;-2.4;723.5;764.5;0.3;64;Штиль, безветрие;0;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью.;;-8.4;;;;;;
24.04.2018 5:00;-3.3;723.1;764.2;-0.4;84;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;;-5.7;;;;;;
24.04.2018 8:00;-0.8;722.5;763.0;-0.6;70;Штиль, безветрие;0;;;100%.; ;;;-3.8;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-5.7;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.;6.0
24.04.2018 11:00;-0.9;721.9;762.4;-0.6;87;Ветер, дующий с северо-северо-востока;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;10.0;-2.8;;;;;;
24.04.2018 14:00;0.0;721.1;761.5;-0.8;88;Ветер, дующий с северо-востока;1;;;100%.;Снег непрерывный слабый в срок наблюдения. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";70 – 80%.;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;;10.0;-1.8;;;;;;
24.04.2018 17:00;0.6;721.3;761.7;0.2;75;Ветер, дующий с северо-востока;1;;;100%.;Состояние неба в общем не изменилось. ;Дождь со снегом или другими видами твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";50%.;300-600;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-3.3;;;;;;
24.04.2018 20:00;11.0;722.2;762.5;0.9;30;Ветер, дующий с северо-востока;1;;;100%.;Состояние неба в общем не изменилось. ;Дождь со снегом или другими видами твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;11.0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50.0;-6.2;2.0;12;;;;
24.04.2018 23:00;-2.0;723.1;763.9;0.9;65;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;600-1000;Высококучевые башенкообразные или хлопьевидные.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-7.8;;;;;;
25.04.2018 2:00;-3.3;723.7;763.4;0.6;84;Штиль, безветрие;0;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-5.7;;;;;;
25.04.2018 5:00;-9.0;726.0;768.2;02.мар;82;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-11.5;;;;;;
25.04.2018 8:00;-2.8;727.5;768.8;01.май;58;Штиль, безветрие;0;;;Облаков нет.; ;;;-9.2;;;;;;;50.0;-9.9;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.;3.0
25.04.2018 11:00;02.мар;727.7;768.1;0.2;36;Ветер, дующий с северо-северо-востока;1;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-11.3;;;;;;
25.04.2018 14:00;05.июл;727.1;767.0;-0.6;27;Ветер, дующий с востока;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-11.9;;;;;;
