Местное время в Икее;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
29.07.2020 8:00;14.апр;712.0;757.3;;94;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;14.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;13.май;8.0;12;;;;
29.07.2020 2:00;16.фев;712.0;757.1;;84;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;13.май;;;;;;
28.07.2020 20:00;20.июн;712.2;756.7;;68;Ветер, дующий с востоко-юго-востока;2;;;90  или более, но не 100%; ;;;;23.фев;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;14.май;Осадков нет;12;;;;
28.07.2020 14:00;20.авг;712.9;757.3;;53;Ветер, дующий с востока;2;;;70 – 80%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;10.авг;;;;;;
28.07.2020 8:00;14.0;712.9;758.5;;90;Штиль, безветрие;0;;;60%.; ;;;;14.0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;12.мар;2.0;12;;;;
28.07.2020 2:00;13.мар;711.4;757.1;;94;Штиль, безветрие;0;;;Облаков нет.;Состояние неба в общем не изменилось. ;Гроза (грозы) с осадками или без них.;Ливень (ливни).;;;;;;;;;12.апр;;;;;;
27.07.2020 20:00;20.апр;710.1;754.4;;80;Ветер, дующий с северо-запада;6;;;100%.;Гроза слабая или умеренная без града, но с дождем и/или снегом в срок наблюдения. ;Гроза (грозы) с осадками или без них.;Ливень (ливни).;;26.май;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;16.авг;0.3;12;;;;
27.07.2020 14:00;25.фев;709.0;752.6;;46;Ветер, дующий с северо-северо-востока;2;;;60%.;Состояние неба в общем не изменилось. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;12.июн;;;;;;
27.07.2020 8:00;13.янв;709.2;754.7;;99;Штиль, безветрие;0;;;Облаков нет.;Туман или ледяной туман, небо видно, без заметного изменения интенсивности в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение всего соответствующего периода.;10.июл;;;;;;;0.5;12.сен;Осадков нет;12;;;;
27.07.2020 2:00;13.фев;709.9;755.5;;86;Штиль, безветрие;0;;;60%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;10.сен;;;;;;
26.07.2020 20:00;22.0;709.7;753.8;;64;Ветер, дующий с северо-северо-востока;2;;;60%.;Состояние неба в общем не изменилось. ;Гроза (грозы) с осадками или без них.;Ливень (ливни).;;25.янв;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;14.сен;Следы осадков;12;;;;
26.07.2020 14:00;22.май;710.2;754.2;;59;Ветер, дующий с севера;2;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;14.0;;;;;;
26.07.2020 8:00;15.мар;710.0;755.2;;94;Штиль, безветрие;0;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;14.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;14.апр;2.0;12;;;;
26.07.2020 2:00;16.фев;710.2;755.3;;84;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;13.май;;;;;;
25.07.2020 20:00;22.сен;710.6;754.6;;53;Ветер, дующий с востока;2;;;70 – 80%.; ;;;;25.июн;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;12.авг;Осадков нет;12;;;;
25.07.2020 14:00;23.0;712.3;756.4;;47;Ветер, дующий с востока;4;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;11.фев;;;;;;
25.07.2020 8:00;10.июн;713.7;760.0;;85;Штиль, безветрие;0;;;40%.; ;;;07.апр;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;08.янв;Осадков нет;12;;;;
25.07.2020 2:00;11.авг;714.1;760.2;;83;Штиль, безветрие;0;;;40%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;;;;9.0;;;;;;
24.07.2020 20:00;20.0;713.5;758.2;;64;Штиль, безветрие;0;;;60%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;23.май;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;13.0;0.6;12;;;;
24.07.2020 14:00;22.янв;710.8;754.9;;56;Ветер, дующий с севера;4;;;40%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;12.сен;;;;;;
24.07.2020 8:00;14.0;710.5;755.8;;97;Ветер, дующий с северо-востока;2;;;60%.; ;;;11.май;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;13.май;Осадков нет;12;;;;
24.07.2020 2:00;16.авг;710.7;755.7;;74;Ветер, дующий с северо-северо-запада;2;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;12.янв;;;;;;
23.07.2020 20:00;20.июн;709.9;754.3;;55;Ветер, дующий с востока;2;;;90  или более, но не 100%; ;;;;23.янв;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;11.фев;Осадков нет;12;;;;
23.07.2020 14:00;21.0;710.6;754.9;;47;Ветер, дующий с востоко-юго-востока;2;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;09.фев;;;;;;
23.07.2020 8:00;15.0;710.1;755.3;;96;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;14.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;14.мар;3.0;12;;;;
23.07.2020 2:00;15.май;707.9;752.9;;88;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;13.май;;;;;;
22.07.2020 20:00;20.май;705.4;749.5;;65;Ветер, дующий с севера;2;;;90  или более, но не 100%; ;;;;23.авг;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;13.июн;1.0;12;;;;
22.07.2020 14:00;18.авг;703.9;748.0;;84;Ветер, дующий с западо-северо-запада;2;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;1000-1500;;;50.0;16.0;;;;;;
22.07.2020 8:00;14.сен;703.9;748.6;;93;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;13.янв;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;13.июл;Следы осадков;12;;;;
22.07.2020 2:00;17.апр;704.4;748.9;;83;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;14.май;;;;;;
21.07.2020 20:00;24.фев;704.6;748.0;;54;Ветер, дующий с востока;2;;;40%.; ;;;;26.мар;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;14.мар;Осадков нет;12;;;;
21.07.2020 14:00;22.фев;705.4;749.3;;57;Ветер, дующий с востока;4;;;20–30%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;13.фев;;;;;;
21.07.2020 8:00;11.апр;706.3;751.9;;85;Штиль, безветрие;0;;;60%.; ;;;07.июл;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";40%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;9.0;Осадков нет;12;;;;
21.07.2020 2:00;13.июн;707.7;753.1;;81;Штиль, безветрие;0;;;60%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;10.мар;;;;;;
20.07.2020 20:00;20.0;708.3;752.7;;53;Ветер, дующий с востока;4;;;60%.; ;;;;21.мар;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;10.фев;Осадков нет;12;;;;
20.07.2020 14:00;18.апр;709.1;753.7;;56;Ветер, дующий с востока;4;;;70 – 80%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";40%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;09.май;;;;;;
20.07.2020 8:00;07.май;710.5;757.6;;90;Штиль, безветрие;0;;;40%.; ;;;3.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;6.0;Осадков нет;12;;;;
20.07.2020 2:00;07.фев;712.4;759.3;;73;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;02.июн;;;;;;
19.07.2020 20:00;17.апр;711.6;756.7;;46;Ветер, дующий с востоко-северо-востока;2;;;70 – 80%.; ;;;;20.янв;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;05.июл;Осадков нет;12;;;;
19.07.2020 14:00;16.май;713.4;758.7;;39;Ветер, дующий с северо-северо-востока;6;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;02.мар;;;;;;
19.07.2020 8:00;10.фев;714.3;760.6;;92;Штиль, безветрие;0;;;40%.; ;;;7.0;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;9.0;Осадков нет;12;;;;
19.07.2020 2:00;10.0;714.1;760.5;;67;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;04.янв;;;;;;
18.07.2020 20:00;15.сен;714.4;759.8;;44;Ветер, дующий с северо-северо-запада;4;;;70 – 80%.; ;;;;18.0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;03.май;Осадков нет;12;;;;
18.07.2020 14:00;15.июн;713.8;759.4;;47;Ветер, дующий с северо-запада;4;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;04.фев;;;;;;
18.07.2020 8:00;11.май;713.7;759.8;;85;Ветер, дующий с севера;4;;;90  или более, но не 100%; ;;;9.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;09.янв;Осадков нет;12;;;;
18.07.2020 2:00;13.апр;712.9;758.7;;86;Штиль, безветрие;0;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;11.янв;;;;;;
17.07.2020 20:00;19.янв;710.5;755.1;;75;Ветер, дующий с северо-запада;4;;;60%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;22.янв;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";20–30%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;14.июн;2.0;12;;;;
17.07.2020 14:00;19.апр;710.5;755.1;;67;Ветер, дующий с западо-северо-запада;6;;;60%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";60%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;13.янв;;;;;;
17.07.2020 8:00;10.0;711.4;757.6;;94;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;07.июл;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;9.0;1.0;12;;;;
17.07.2020 2:00;08.июн;713.7;760.4;;84;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;6.0;;;;;;
16.07.2020 20:00;16.мар;714.9;760.3;;57;Ветер, дующий с севера;2;;;70 – 80%.; ;;;;19.сен;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;07.авг;Следы осадков;12;;;;
16.07.2020 14:00;15.мар;716.2;761.8;;50;Ветер, дующий с севера;4;;;90  или более, но не 100%;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;04.сен;;;;;;
16.07.2020 8:00;11.май;715.9;762.1;;89;Ветер, дующий с северо-запада;2;;;90  или более, но не 100%; ;;;07.фев;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;09.июл;Осадков нет;12;;;;
16.07.2020 2:00;13.июн;715.5;761.4;;76;Ветер, дующий с северо-северо-запада;2;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;09.май;;;;;;
15.07.2020 20:00;21.авг;711.2;755.4;;63;Ветер, дующий с северо-северо-запада;2;;;90  или более, но не 100%; ;;;;26.апр;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;14.мар;Следы осадков;12;;;;
15.07.2020 14:00;21.янв;709.7;754.0;;77;Ветер, дующий с севера;6;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;16.авг;;;;;;
15.07.2020 8:00;16.0;708.9;753.9;;99;Ветер, дующий с северо-запада;4;;;100%.;Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;15.июл;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;15.авг;40.0;12;;;;
15.07.2020 2:00;17.мар;707.8;752.5;;99;Ветер, дующий с северо-запада;2;;;100%.;Ливневый(ые) дождь(и). ;Гроза (грозы) с осадками или без них.;Ливень (ливни).;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;17.янв;;;;;;
14.07.2020 20:00;21.июн;707.3;751.2;;92;Ветер, дующий с северо-северо-запада;6;;;100%.;Гроза слабая или умеренная без града, но с дождем и/или снегом в срок наблюдения. ;Гроза (грозы) с осадками или без них.;Ливень (ливни).;28.июл;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;20.фев;7.0;12;;;;
14.07.2020 14:00;26.июн;708.1;751.4;;41;Ветер, дующий с востока;2;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;12.мар;;;;;;
14.07.2020 8:00;18.май;709.2;753.7;;89;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;15.мар;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;16.июл;Осадков нет;12;;;;
14.07.2020 2:00;18.июн;709.9;;;84;Штиль, безветрие;0;;;40%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;15.сен;;;;;;
13.07.2020 20:00;26.янв;709.7;753.1;;58;Ветер, дующий с востока;4;;;60%.; ;;;;27.апр;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;17.фев;Осадков нет;12;;;;
13.07.2020 14:00;25.апр;711.1;754.7;;53;Ветер, дующий с востоко-северо-востока;4;;;70 – 80%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;15.0;;;;;;
13.07.2020 8:00;17.май;712.0;756.9;;75;Ветер, дующий с северо-востока;2;;;70 – 80%.; ;;;15.0;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;12.сен;Осадков нет;12;;;;
13.07.2020 2:00;17.мар;712.2;757.3;;75;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;12.авг;;;;;;
12.07.2020 20:00;22.мар;712.2;756.4;;49;Ветер, дующий с северо-востока;2;;;70 – 80%.; ;;;;23.май;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;11.0;Осадков нет;12;;;;
12.07.2020 14:00;20.авг;712.5;757.0;;53;Ветер, дующий с северо-востока;2;;;70 – 80%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;10.авг;;;;;;
