Местное время в Хомутово;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
01.04.2019 11:00;06.янв;726.5;767.7;;39;Ветер, дующий с юго-юго-востока;2;;;Облаков нет.; ;;;;;;;;;;50.0;-6.8;;;;;;
01.04.2019 14:00;10.июл;724.8;765.2;;35;Ветер, дующий с юго-востока;3;;;Облаков нет.; ;;;;;;;;;;50.0;-4.1;;;;;;
01.04.2019 17:00;12.янв;723.4;763.6;;32;Ветер, дующий с юго-востока;4;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;50.0;-4.3;;;;;;
01.04.2019 20:00;05.июл;723.6;764.7;;50;Ветер, дующий с востока;1;;;100%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;12.апр;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые плотные, образовавшиеся от кучево-дождевых.;10.0;-4.1;Осадков нет;12;;;;
01.04.2019 23:00;01.апр;724.7;766.5;;61;Ветер, дующий с юго-юго-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;;-5.4;;;;;;
02.04.2019 2:00;-0.5;725.9;768.1;;71;Ветер, дующий с востоко-юго-востока;2;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;;-5.1;;;;;;
02.04.2019 5:00;-1.0;728.3;770.7;;78;Ветер, дующий с западо-юго-запада;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-4.4;;;;;;
02.04.2019 11:00;05.сен;730.2;771.6;;44;Ветер, дующий с западо-юго-запада;2;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;10%  или менее, но не 0;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-5.6;;;;;;
02.04.2019 14:00;09.апр;728.2;769.0;;27;Ветер, дующий с западо-юго-запада;1;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-8.7;;;;;;
02.04.2019 17:00;11.фев;725.8;766.2;;28;Ветер, дующий с востоко-северо-востока;2;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-6.9;;;;;;
02.04.2019 20:00;06.июн;724.6;765.7;;44;Ветер, дующий с северо-востока;2;;;70 – 80%.; ;;;;11.мар;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-4.9;Осадков нет;12;;;;
02.04.2019 23:00;0.4;723.5;765.4;;67;Ветер, дующий с востоко-северо-востока;2;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-5.1;;;;;;
03.04.2019 2:00;-1.5;721.2;763.2;;77;Ветер, дующий с востоко-северо-востока;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-5.0;;;;;;
03.04.2019 5:00;-1.3;719.5;761.4;;77;Ветер, дующий с востоко-северо-востока;1;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-4.8;;;;;;
03.04.2019 8:00;-0.7;718.8;760.6;;76;Ветер, дующий с востоко-северо-востока;1;;;100%.; ;;;-1.8;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;;20.0;-4.5;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.;Снежный покров не постоянный.
03.04.2019 11:00;06.июл;722.2;763.0;;55;Ветер, дующий с северо-запада;7;13;14;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-1.8;;;;;;
03.04.2019 14:00;04.янв;723.8;765.1;;63;Ветер, дующий с западо-северо-запада;4;;16;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20.0;-2.5;;;;;;
03.04.2019 17:00;02.сен;724.3;765.8;;67;Ветер, дующий с западо-северо-запада;3;;11;100%.;Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;2.0;-2.7;;;;;;
03.04.2019 20:00;01.июл;724.0;765.7;;69;Ветер, дующий с западо-юго-запада;5;;11;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;06.авг;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;-3.5;Следы осадков;12;;;;
03.04.2019 23:00;0.7;725.2;767.2;;71;Ветер, дующий с запада;3;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-4.1;;;;;;
04.04.2019 2:00;0.8;727.0;769.0;;58;Ветер, дующий с северо-запада;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-6.7;;;;;;
04.04.2019 5:00;0.5;727.3;769.4;;35;Ветер, дующий с западо-северо-запада;4;;;60%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;10%  или менее, но не 0;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-13.2;;;;;;
04.04.2019 8:00;-0.5;728.0;770.3;;51;Ветер, дующий с западо-юго-запада;2;;;100%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;-1.2;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые плотные, образовавшиеся от кучево-дождевых.;10.0;-9.5;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.;Снежный покров не постоянный.
04.04.2019 11:00;02.янв;727.2;769.1;;32;Ветер, дующий с западо-северо-запада;3;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20.0;-12.9;;;;;;
04.04.2019 14:00;03.июл;725.2;766.7;;33;Ветер, дующий с юго-запада;1;;;90  или более, но не 100%; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-11.1;;;;;;
04.04.2019 17:00;04.июн;724.0;765.3;;31;Ветер, дующий с западо-северо-запада;2;;;90  или более, но не 100%; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;90  или более, но не 100%;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-11.1;;;;;;
05.04.2019 8:00;-0.5;727.3;769.5;;68;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;-2.4;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-5.8;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.;Снежный покров не постоянный.
05.04.2019 11:00;01.апр;728.2;770.2;;29;Ветер, дующий с северо-запада;6;10;10;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-14.9;;;;;;
05.04.2019 14:00;03.мар;727.6;769.3;;24;Ветер, дующий с северо-северо-запада;3;;11;60%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";60%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-15.3;;;;;;
05.04.2019 17:00;03.авг;726.8;768.4;;21;Ветер, дующий с северо-северо-запада;3;;;20–30%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-16.6;;;;;;
05.04.2019 20:00;01.фев;726.3;768.3;;27;Ветер, дующий с востоко-северо-востока;1;;;100%.; ;;;;04.фев;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20.0;-15.7;Осадков нет;12;;;;
06.04.2019 2:00;-5.3;725.3;768.3;;69;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;-10.2;;;;;;
06.04.2019 5:00;-6.3;724.6;767.7;;67;Ветер, дующий с северо-востока;4;;;Облаков нет.; ;;;;;;;;;;;-11.5;;;;;;
06.04.2019 8:00;-5.4;725.0;767.9;;59;Ветер, дующий с северо-востока;5;;;20–30%.; ;;;-6.9;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-12.3;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.;Снежный покров не постоянный.
06.04.2019 11:00;02.авг;725.0;766.6;;30;Ветер, дующий с северо-северо-востока;3;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-13.0;;;;;;
06.04.2019 17:00;06.мар;723.7;764.8;;17;Ветер, дующий с северо-северо-востока;1;;;20–30%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-17.4;;;;;;
06.04.2019 20:00;04.янв;724.3;765.7;;23;Ветер, дующий с северо-востока;2;;;40%.; ;;;;06.сен;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые башенкообразные или хлопьевидные.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-15.5;Осадков нет;12;;;;
06.04.2019 23:00;-1.5;725.1;767.4;;46;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;;;;;;;;-11.6;;;;;;
07.04.2019 2:00;-4.4;725.2;768.0;;59;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;-11.2;;;;;;
07.04.2019 5:00;-6.7;724.3;767.5;;70;Ветер, дующий с востоко-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;-11.4;;;;;;
07.04.2019 11:00;04.май;722.7;763.9;;25;Ветер, дующий с востоко-юго-востока;5;;;10%  или менее, но не 0; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-14.1;;;;;;
07.04.2019 14:00;07.май;721.0;761.8;;20;Ветер, дующий с востока;4;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-14.0;;;;;;
07.04.2019 17:00;09.апр;720.1;760.5;;21;Ветер, дующий с юго-юго-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;50.0;-11.7;;;;;;
07.04.2019 20:00;03.июн;721.3;762.5;;35;Ветер, дующий с западо-юго-запада;3;;;20–30%.; ;;;;09.апр;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-10.4;Осадков нет;12;;;;
07.04.2019 23:00;-1.4;723.1;765.2;;55;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-9.4;;;;;;
08.04.2019 2:00;-4.3;724.5;767.2;;73;Ветер, дующий с востоко-юго-востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-8.5;;;;;;
08.04.2019 5:00;-4.4;725.5;768.3;;65;Ветер, дующий с востоко-юго-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-10.0;;;;;;
08.04.2019 8:00;-3.7;727.1;769.9;;75;Ветер, дующий с северо-востока;1;;;100%.; ;;;-5.2;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-7.6;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.;Снежный покров не постоянный.
08.04.2019 11:00;0.8;728.5;770.7;;47;Ветер, дующий с запада;2;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;20.0;-9.4;;;;;;
08.04.2019 14:00;08.янв;728.4;769.4;;28;Ветер, дующий с северо-северо-запада;3;;;40%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-9.6;;;;;;
08.04.2019 17:00;07.авг;728.6;769.7;;27;Ветер, дующий с северо-запада;4;10;10;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-10.0;;;;;;
08.04.2019 20:00;05.мар;729.7;771.2;;34;Ветер, дующий с северо-запада;2;;10;40%.; ;;;;09.мар;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-9.6;Осадков нет;12;;;;
08.04.2019 23:00;0.0;731.2;773.5;;55;Ветер, дующий с запада;2;;;Облаков нет.; ;;;;;;;;;;;-8.0;;;;;;
09.04.2019 2:00;-3.9;731.9;775.0;;76;Ветер, дующий с юга;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-7.6;;;;;;
09.04.2019 5:00;-4.5;732.1;775.3;;83;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;;-7.0;;;;;;
09.04.2019 8:00;-1.8;732.7;775.5;;73;Штиль, безветрие;0;;;100%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;-5.3;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;-6.0;;;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.;Снежный покров не постоянный.
09.04.2019 11:00;05.май;732.7;774.3;;42;Ветер, дующий с западо-юго-запада;2;;;100%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;1000-1500;Высококучевые башенкообразные или хлопьевидные.;;10.0;-6.5;;;;;;
09.04.2019 14:00;08.мар;730.8;772.0;;23;Ветер, дующий с западо-юго-запада;3;;;70 – 80%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;50%.;1000-1500;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-11.5;;;;;;
09.04.2019 17:00;09.июн;728.8;769.6;;22;Ветер, дующий с западо-северо-запада;2;;;70 – 80%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-11.2;;;;;;
09.04.2019 20:00;06.июл;727.9;769.0;;26;Ветер, дующий с востока;1;;;Облаков нет.; ;;;;09.авг;;;;;;50.0;-11.5;Осадков нет;12;;;;
09.04.2019 23:00;-1.6;727.5;769.9;;62;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;-8.1;;;;;;
10.04.2019 2:00;-4.1;726.1;768.9;;70;Ветер, дующий с востоко-северо-востока;3;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-8.9;;;;;;
10.04.2019 8:00;-3.0;723.4;765.9;;65;Ветер, дующий с востоко-северо-востока;3;;;20–30%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;-5.5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;-8.7;Осадков нет;12;;;;
10.04.2019 11:00;10.янв;721.5;761.8;;24;Ветер, дующий с юго-юго-востока;3;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-9.6;;;;;;
10.04.2019 14:00;14.фев;718.9;758.5;;14;Ветер, дующий с юга;4;11;11;Облаков нет.; ;;;;;;;;;;20.0;-13.3;;;;;;
10.04.2019 17:00;14.авг;716.6;756.0;;14;Ветер, дующий с юго-юго-востока;4;;11;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;20.0;-12.7;;;;;;
10.04.2019 20:00;10.фев;715.0;755.0;;20;Ветер, дующий с западо-юго-запада;1;;;100%.; ;;;;15.апр;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;20.0;-12.0;Осадков нет;12;;;;
10.04.2019 23:00;04.мар;715.0;755.8;;41;Ветер, дующий с юго-юго-востока;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-8.0;;;;;;
