"Местное время в Хайте Иркутской";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"21.05.2018 20:00";"1.2";"698.2";"766.3";"";"83";"Ветер, дующий с западо-юго-запада";"2";"";"11";"100%.";"Ливневый снег или ливневый дождь и снег. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"20.0";"-1.4";"1.0";"12";"";"";"";"";
"21.05.2018 08:00";"-0.5";"700.7";"769.5";"";"90";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";"Ливневый снег или ливневый дождь и снег. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"1000-1500";"";"";"20.0";"-2.0";"3.0";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"7.0";
"20.05.2018 20:00";"0.5";"699.7";"768.1";"";"89";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый снег или ливневый дождь и снег. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"4.5";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"1000-1500";"";"";"20.0";"-1.2";"3.0";"12";"";"";"";"";
"20.05.2018 08:00";"3.8";"694.2";"761.3";"";"64";"Ветер, дующий с востоко-северо-востока";"1";"";"";"100%.";" ";"";"";"-2.6";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"1000-1500";"";"";"20.0";"-2.4";"Осадков нет";"12";"Cухая (без трещин, заметного количества пыли или сыпучего песка)";"1.0";"";"";
"19.05.2018 20:00";"13.3";"694.3";"759.1";"";"43";"Ветер, дующий с северо-востока";"2";"";"";"100%.";" ";"";"";"";"15.2";"Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.";"40%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перисто-слоистые, покрывающие все небо.";"20.0";"0.8";"Осадков нет";"12";"";"";"";"";
"19.05.2018 08:00";"3.5";"696.0";"763.3";"";"82";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"2.3";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"20.0";"0.6";"0.7";"12";"";"";"";"";
"18.05.2018 20:00";"9.4";"692.6";"758.1";"";"54";"Ветер, дующий с северо-востока";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"1000-1500";"Высококучевые башенкообразные или хлопьевидные.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"0.5";"Осадков нет";"12";"";"";"";"";
"18.05.2018 08:00";"8.1";"690.1";"755.6";"";"61";"Ветер, дующий с востока";"2";"";"";"70 – 80%.";" ";"";"";"-2.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"Перистые плотные, образовавшиеся от кучево-дождевых.";"20.0";"0.9";"Осадков нет";"12";"";"";"";"";
"17.05.2018 20:00";"16.3";"688.3";"751.6";"";"53";"Штиль, безветрие";"0";"";"";"50%.";" ";"";"";"";"24.5";"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.";"20–30%.";"1000-1500";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"6.5";"Осадков нет";"12";"";"";"";"";
"17.05.2018 08:00";"4.1";"694.3";"761.3";"";"62";"Штиль, безветрие";"0";"";"";"70 – 80%.";"Облака в целом образовывались или развивались. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"-3.7";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"20.0";"-2.7";"Осадков нет";"12";"";"";"";"";
"16.05.2018 20:00";"15.1";"690.7";"754.7";"";"32";"Ветер, дующий с востоко-юго-востока";"1";"";"13";"40%.";" ";"";"";"";"22.2";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перистые плотные, образовавшиеся от кучево-дождевых.";"20.0";"-1.4";"Осадков нет";"12";"";"";"";"";
"16.05.2018 08:00";"4.6";"691.6";"758.2";"";"68";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"-5.0";"";"";"";"";"";"";"50.0";"-0.8";"Осадков нет";"12";"";"";"";"";
"15.05.2018 20:00";"13.2";"691.3";"755.9";"";"29";"Ветер, дующий с западо-юго-запада";"2";"";"";"40%.";" ";"";"";"";"16.5";"Слоисто-кучевые, образовавшиеся из кучевых.";"20–30%.";"1000-1500";"Высококучевые башенкообразные или хлопьевидные.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-4.7";"Осадков нет";"12";"";"";"";"";
"15.05.2018 08:00";"2.5";"691.7";"758.8";"";"89";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-1.1";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"1000-1500";"";"";"20.0";"0.9";"Осадков нет";"12";"";"";"";"";
"14.05.2018 20:00";"8.8";"688.0";"753.2";"";"61";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";" ";"";"";"";"10.6";"Слоисто-кучевые, образовавшиеся не из кучевых.";"40%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые плотные, образовавшиеся от кучево-дождевых.";"20.0";"1.5";"Осадков нет";"12";"";"";"";"";
"14.05.2018 08:00";"3.9";"690.5";"757.2";"";"88";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-0.7";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"60%.";"600-1000";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"20.0";"2.1";"2.0";"12";"";"";"";"";
"13.05.2018 20:00";"8.8";"693.9";"751.5";"";"68";"Ветер, дующий с востоко-северо-востока";"2";"";"";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"3.2";"Следы осадков";"12";"";"";"";"";
"13.05.2018 08:00";"7.8";"681.0";"745.7";"";"92";"Ветер, дующий с севера";"1";"";"";"100%.";"Туман или обрывки ледяного тумана. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"6.0";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"20.0";"6.5";"2.0";"12";"";"";"";"";
"12.05.2018 20:00";"17.2";"679.6";"742.0";"";"29";"Ветер, дующий с северо-востока";"2";"";"10";"100%.";" ";"";"";"";"21.6";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перисто-слоистые, покрывающие все небо.";"20.0";"-1.0";"Осадков нет";"12";"";"";"";"";
"12.05.2018 08:00";"1.0";"685.9";"753.0";"";"79";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-4.9";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"";"20.0";"-2.2";"Осадков нет";"12";"";"";"";"";
"11.05.2018 20:00";"7.1";"694.7";"761.0";"";"54";"Ветер, дующий с востока";"1";"";"";"100%.";" ";"";"";"";"8.8";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высокослоистые просвечивающие.";"Перисто-слоистые, покрывающие все небо.";"20.0";"-1.7";"Осадков нет";"12";"";"";"";"";
"11.05.2018 08:00";"0.8";"700.9";"769.5";"";"83";"Штиль, безветрие";"0";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-0.6";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"20.0";"-1.8";"1.0";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.";"Менее 0.5";
"10.05.2018 20:00";"7.4";"695.6";"761.8";"";"92";"Ветер, дующий с северо-востока";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Гроза (грозы) с осадками или без них.";"Ливень (ливни).";"";"16.8";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"20.0";"6.1";"3.0";"12";"";"";"";"";
"10.05.2018 08:00";"1.9";"695.0";"762.7";"";"75";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-3.8";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перисто-слоистые, покрывающие все небо.";"4.0";"-2.1";"Осадков нет";"12";"";"";"";"";
"09.05.2018 20:00";"12.9";"694.0";"758.8";"";"37";"Ветер, дующий с западо-юго-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"18.0";"Слоисто-кучевые, образовавшиеся из кучевых.";"20–30%.";"1000-1500";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"20.0";"-1.6";"Осадков нет";"12";"";"";"";"";
"09.05.2018 08:00";"0.7";"695.5";"763.4";"";"83";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"-1.9";"Осадков нет";"12";"";"";"Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.";"4.0";
"08.05.2018 20:00";"3.3";"697.0";"764.4";"";"70";"Ветер, дующий с севера";"1";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"4.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"20.0";"-1.7";"1.0";"12";"";"";"";"";
"08.05.2018 08:00";"0.1";"701.4";"770.1";"";"100";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Дождь со снегом или другими видами твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-0.1";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"300-600";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"0.5";"0.1";"7.0";"12";"";"";"Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.";"9.0";
"07.05.2018 20:00";"3.2";"697.8";"765.3";"";"88";"Ветер, дующий с востоко-юго-востока";"1";"";"";"100%.";"Дождь незамерзающий с перерывами слабый в срок наблюдения. ";"Дождь.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"50%.";"600-1000";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"1.4";"0.7";"12";"";"";"";"";
"07.05.2018 08:00";"2.5";"691.4";"758.5";"";"84";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-2.3";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"0.1";"Осадков нет";"12";"";"";"";"";
"06.05.2018 20:00";"16.2";"687.8";"751.3";"";"31";"Ветер, дующий с северо-востока";"2";"";"";"100%.";" ";"";"";"";"20.0";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"20.0";"-0.9";"Осадков нет";"12";"";"";"";"";
"06.05.2018 08:00";"3.3";"683.8";"750.0";"";"72";"Ветер, дующий с юго-юго-запада";"1";"";"";"40%.";" ";"";"";"-3.5";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"20.0";"-1.4";"Осадков нет";"12";"";"";"";"";
"05.05.2018 20:00";"14.7";"687.0";"750.7";"";"29";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"18.0";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-3.4";"Осадков нет";"12";"";"";"";"";
"05.05.2018 08:00";"-0.4";"694.3";"762.4";"";"69";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-9.3";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перисто-слоистые, покрывающие все небо.";"20.0";"-5.5";"Осадков нет";"12";"";"";"";"";
"04.05.2018 20:00";"6.7";"697.6";"764.3";"";"29";"Ветер, дующий с северо-северо-запада";"1";"";"11";"40%.";" ";"";"";"";"10.3";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"1000-1500";"Высококучевые башенкообразные или хлопьевидные.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-10.2";"Осадков нет";"12";"";"";"";"";
"04.05.2018 08:00";"3.8";"698.5";"766.0";"";"64";"Ветер, дующий с северо-северо-запада";"4";"";"12";"100%.";" ";"";"";"1.1";"";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"20–30%.";"1000-1500";"Высококучевые башенкообразные или хлопьевидные.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"-2.4";"Осадков нет";"12";"";"";"";"";
"03.05.2018 20:00";"10.4";"687.2";"751.9";"";"67";"Ветер, дующий с северо-востока";"1";"";"11";"100%.";"Облака в целом образовывались или развивались. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"19.0";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"1000-1500";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"20.0";"4.4";"Следы осадков";"12";"";"";"";"";
"03.05.2018 08:00";"5.3";"694.6";"761.3";"";"89";"Штиль, безветрие";"0";"";"";"100%.";"Туман или обрывки ледяного тумана. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"4.3";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"20.0";"3.6";"5.0";"12";"";"";"";"";
"02.05.2018 20:00";"12.3";"696.0";"761.2";"";"45";"Ветер, дующий с северо-северо-востока";"2";"";"10";"100%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"20.0";"0.6";"Осадков нет";"12";"";"";"";"";
"02.05.2018 08:00";"4.2";"692.4";"759.2";"";"66";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-3.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"20.0";"-1.6";"Осадков нет";"12";"";"";"";"";
"01.05.2018 20:00";"16.8";"693.0";"756.9";"";"28";"Ветер, дующий с северо-северо-востока";"1";"";"";"100%.";" ";"";"";"";"22.2";"Слоисто-кучевые, образовавшиеся не из кучевых.";"10%  или менее, но не 0";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"20.0";"-1.7";"Осадков нет";"12";"";"";"";"";
"01.05.2018 08:00";"2.5";"697.4";"765.1";"";"69";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"-6.3";"";"";"";"";"";"";"50.0";"-2.7";"Осадков нет";"12";"";"";"";"";
"30.04.2018 20:00";"10.4";"697.5";"763.3";"";"39";"Ветер, дующий с северо-востока";"1";"";"";"10%  или менее, но не 0";" ";"";"";"";"15.8";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"Высококучевые башенкообразные или хлопьевидные.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-3.2";"Осадков нет";"12";"";"";"";"";
"30.04.2018 08:00";"0.9";"701.7";"770.2";"";"85";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"-6.4";"";"";"";"";"";"";"50.0";"-1.4";"Осадков нет";"12";"";"";"";"";
"29.04.2018 20:00";"5.9";"700.0";"767.0";"";"63";"Ветер, дующий с западо-юго-запада";"1";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"8.3";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"1000-1500";"Высококучевые башенкообразные или хлопьевидные.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"-0.7";"0.6";"12";"";"";"";"";
"29.04.2018 08:00";"1.4";"699.7";"767.9";"";"92";"Штиль, безветрие";"0";"";"";"100%.";"Туман или ледяной туман, небо видно, без заметного изменения интенсивности в течение последнего часа. ";"Ливень (ливни).";"Туман или ледяной туман или сильная мгла.";"0.3";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"0.5";"0.3";"3.0";"12";"";"";"";"";
"28.04.2018 20:00";"6.3";"698.2";"765.0";"";"58";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"9.5";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"20.0";"-1.5";"Осадков нет";"12";"";"";"";"";
"28.04.2018 08:00";"0.1";"700.4";"769.0";"";"94";"Штиль, безветрие";"0";"";"";"Небо не видно из-за тумана и/или других метеорологических явлений.";"Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ";"Туман или ледяной туман или сильная мгла.";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-0.9";"";"";"";"";"";"";"0.5";"-0.8";"Осадков нет";"12";"";"";"";"";
"27.04.2018 20:00";"2.9";"700.6";"768.5";"";"93";"Ветер, дующий с северо-северо-востока";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"7.9";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"600-1000";"Высококучевые просвечивающие, расположенные на одном уровне.";"";"20.0";"1.9";"6.0";"12";"";"";"";"";
"27.04.2018 08:00";"7.4";"697.7";"764.1";"";"86";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"7.1";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"20.0";"5.1";"6.0";"12";"";"";"";"";
"26.04.2018 20:00";"20.6";"690.3";"752.9";"";"30";"Ветер, дующий с северо-северо-востока";"2";"";"";"70 – 80%.";" ";"";"";"";"25.5";"Слоисто-кучевые, образовавшиеся не из кучевых.";"10%  или менее, но не 0";"1000-1500";"Высококучевые башенкообразные или хлопьевидные.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"20.0";"2.4";"Осадков нет";"12";"";"";"";"";
"26.04.2018 08:00";"6.9";"698.7";"765.4";"";"69";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";" ";"";"";"2.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"20.0";"1.5";"Осадков нет";"12";"";"";"";"";
"25.04.2018 20:00";"16.0";"694.2";"758.3";"";"39";"Ветер, дующий с северо-северо-востока";"2";"";"";"100%.";" ";"";"";"";"22.2";"Слоисто-кучевые, образовавшиеся не из кучевых.";"20–30%.";"1000-1500";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"20.0";"1.8";"Осадков нет";"12";"";"";"";"";
"25.04.2018 08:00";"7.4";"698.1";"764.6";"";"68";"Ветер, дующий с западо-юго-запада";"1";"";"";"10%  или менее, но не 0";" ";"";"";"1.7";"";"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";"10%  или менее, но не 0";"600-1000";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"1.8";"Осадков нет";"12";"";"";"";"";
"24.04.2018 20:00";"17.6";"691.1";"754.6";"";"31";"Ветер, дующий с западо-северо-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"10%  или менее, но не 0";"600-1000";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"20.0";"0.2";"Осадков нет";"12";"";"";"";"";
"24.04.2018 08:00";"2.5";"694.7";"762.1";"";"69";"Ветер, дующий с северо-востока";"1";"";"";"20–30%.";" ";"";"";"-3.9";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"50.0";"-2.7";"Осадков нет";"12";"";"";"";"";
"23.04.2018 20:00";"15.8";"697.4";"762.0";"";"16";"Ветер, дующий с западо-северо-запада";"1";"";"";"100%.";" ";"";"";"";"23.0";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"20.0";"-10.1";"Осадков нет";"12";"";"";"";"";
"23.04.2018 08:00";"0.7";"699.4";"767.8";"";"85";"Ветер, дующий с востока";"1";"";"";"20–30%.";" ";"";"";"-4.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-1.6";"Осадков нет";"12";"";"";"";"";
