Местное время в Иркутске;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
01.08.2018 20:00;19.сен;714.1;753.9;0.2;65;Ветер, дующий с юга;1;;;100%.; ;;;;22.апр;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;13.фев;Осадков нет;12;;;;
01.08.2018 23:00;16.фев;714.4;754.7;0.3;75;Ветер, дующий с юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;11.авг;;;;;;
02.08.2018 2:00;14.сен;714.3;754.7;-0.1;88;Ветер, дующий с юго-востока;2;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;12.сен;;;;;;
02.08.2018 5:00;14.май;714.1;754.6;-0.2;88;Ветер, дующий с юго-востока;2;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;12.июн;;;;;;
02.08.2018 8:00;15.янв;714.0;754.3;-0.1;85;Ветер, дующий с юго-востока;2;;;100%.; ;;;14.апр;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;12.май;Осадков нет;12;Cухая (без трещин, заметного количества пыли или сыпучего песка);15.0;;
02.08.2018 11:00;17.мар;713.8;753.8;-0.2;76;Ветер, дующий с юго-юго-востока;1;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;50.0;13.0;;;;;;
02.08.2018 14:00;19.0;714.0;753.8;0.2;77;Ветер, дующий с юго-юго-востока;1;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;10.0;14.авг;;;;;;
02.08.2018 17:00;19.апр;714.4;754.1;0.4;80;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;10.0;15.сен;;;;;;
02.08.2018 20:00;19.мар;714.7;754.4;0.3;79;Ветер, дующий с юго-юго-востока;1;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;20.авг;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;15.май;0.4;12;;;;
02.08.2018 23:00;16.янв;715.1;755.4;0.4;86;Ветер, дующий с юго-востока;2;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;13.авг;;;;;;
03.08.2018 2:00;14.май;715.5;756.1;0.4;92;Ветер, дующий с востоко-юго-востока;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;13.фев;;;;;;
03.08.2018 5:00;13.май;715.3;755.9;-0.2;94;Ветер, дующий с востоко-юго-востока;2;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;12.май;;;;;;
03.08.2018 8:00;15.янв;715.2;755.7;-0.1;85;Ветер, дующий с юго-востока;3;;;60%.; ;;;13.янв;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;12.май;Осадков нет;12;Cухая (без трещин, заметного количества пыли или сыпучего песка);12.0;;
03.08.2018 11:00;22.янв;715.0;754.4;-0.2;64;Ветер, дующий с юго-востока;3;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;14.сен;;;;;;
03.08.2018 14:00;26.июн;714.5;753.3;-0.5;52;Ветер, дующий с юго-востока;3;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;15.авг;;;;;;
03.08.2018 17:00;24.июл;715.9;755.0;01.апр;62;Ветер, дующий с запада;3;10;10;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;17.0;;;;;;
03.08.2018 20:00;19.июл;719.2;759.3;03.мар;64;Ветер, дующий с северо-запада;4;10;13;100%.;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;28.0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;12.июл;Следы осадков;12;;;;
03.08.2018 23:00;15.апр;721.7;762.4;02.май;84;Ветер, дующий с западо-северо-запада;4;;11;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;12.июн;;;;;;
04.08.2018 2:00;13.июн;722.8;763.9;01.янв;94;Ветер, дующий с западо-северо-запада;2;;11;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;12.июл;;;;;;
04.08.2018 5:00;12.авг;723.3;764.5;0.5;96;Ветер, дующий с запада;1;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;;12.фев;;;;;;
04.08.2018 8:00;14.апр;723.4;764.4;0.1;83;Ветер, дующий с западо-северо-запада;1;;;70 – 80%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;12.фев;;Слоисто-кучевые, образовавшиеся из кучевых.;70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;11.июн;5.0;12;Поверхность почвы влажная.;14.0;;
04.08.2018 11:00;18.июн;723.1;763.5;-0.3;64;Ветер, дующий с юго-юго-востока;2;;;20–30%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;11.июл;;;;;;
04.08.2018 14:00;22.сен;721.8;761.5;-1.3;51;Ветер, дующий с юго-востока;2;;;10%  или менее, но не 0; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;12.фев;;;;;;
04.08.2018 17:00;25.фев;719.9;759.2;-1.9;48;Ветер, дующий с востоко-юго-востока;2;;;40%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;13.май;;;;;;
04.08.2018 20:00;20.июн;719.1;759.0;-0.8;58;Ветер, дующий с юго-востока;3;;;90  или более, но не 100%; ;;;;25.апр;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;12.0;Осадков нет;12;;;;
04.08.2018 23:00;17.авг;718.3;758.5;-0.8;69;Ветер, дующий с юго-востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;12.0;;;;;;
05.08.2018 2:00;15.авг;716.8;757.2;-1.5;82;Ветер, дующий с востоко-юго-востока;1;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;;12.июл;;;;;;
05.08.2018 5:00;15.авг;715.3;755.6;-1.5;82;Ветер, дующий с востоко-юго-востока;1;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;12.июл;;;;;;
05.08.2018 8:00;17.авг;714.4;754.3;-0.9;75;Ветер, дующий с юго-востока;2;;;100%.; ;;;15.апр;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;13.мар;Осадков нет;12;Cухая (без трещин, заметного количества пыли или сыпучего песка);16.0;;
05.08.2018 11:00;22.фев;713.4;752.7;-1.0;64;Ветер, дующий с юго-юго-востока;1;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;15.0;;;;;;
05.08.2018 14:00;22.май;713.0;752.2;-0.4;69;Ветер, дующий с запада;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;16.июн;;;;;;
05.08.2018 17:00;20.июн;714.1;753.7;01.янв;76;Ветер, дующий с запада;2;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20.0;16.мар;;;;;;
05.08.2018 20:00;19.янв;714.8;754.6;0.7;76;Ветер, дующий с запада;2;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;23.янв;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20.0;14.авг;Следы осадков;12;;;;
05.08.2018 23:00;17.июн;715.3;755.3;0.5;84;Ветер, дующий с запада;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;14.авг;;;;;;
06.08.2018 2:00;16.авг;715.9;756.1;0.6;87;Ветер, дующий с запада;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;14.июн;;;;;;
06.08.2018 5:00;15.июн;716.1;756.5;0.2;96;Ветер, дующий с запада;1;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;14.сен;;;;;;
06.08.2018 8:00;16.апр;717.2;757.6;01.янв;95;Ветер, дующий с западо-северо-запада;2;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;15.май;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;10.0;15.июн;3.0;12;Поверхность почвы влажная.;17.0;;
06.08.2018 11:00;17.мар;718.0;758.2;0.8;95;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20.0;16.май;;;;;;
06.08.2018 14:00;22.июл;717.9;757.3;-0.1;68;Ветер, дующий с западо-северо-запада;3;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;16.май;;;;;;
06.08.2018 17:00;23.фев;717.7;757.1;-0.2;65;Ветер, дующий с запада;1;;;100%.;Состояние неба в общем не изменилось. ;Гроза (грозы) с осадками или без них.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;16.фев;;;;;;
06.08.2018 20:00;20.апр;718.3;758.1;0.6;76;Ветер, дующий с запада;1;;;70 – 80%.;Состояние неба в общем не изменилось. ;Гроза (грозы) с осадками или без них.;Облака покрывали более половины неба в течение всего соответствующего периода.;;24.май;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;16.0;7.0;12;;;;
06.08.2018 23:00;17.сен;719.3;759.6;1.0;80;Ветер, дующий с северо-запада;2;;;Облаков нет.; ;;;;;;;;;;;14.апр;;;;;;
07.08.2018 2:00;15.авг;720.4;761.1;01.янв;75;Ветер, дующий с северо-запада;4;;10;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;;11.мар;;;;;;
07.08.2018 5:00;11.июл;721.3;762.6;0.9;91;Ветер, дующий с запада;3;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;10.фев;;;;;;
07.08.2018 8:00;11.0;721.7;763.2;0.4;95;Ветер, дующий с запада;2;;;100%.;Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;11.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;10.0;10.мар;4.0;12;Поверхность почвы влажная.;13.0;;
07.08.2018 11:00;11.апр;721.9;763.3;0.2;95;Ветер, дующий с запада;2;;;100%.;Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;10.сен;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;10.0;10.июн;;;;;;
07.08.2018 14:00;14.янв;721.1;762.1;-0.8;82;Ветер, дующий с северо-запада;1;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20.0;11.янв;;;;;;
07.08.2018 17:00;16.май;720.4;761.0;-0.7;72;Ветер, дующий с востоко-юго-востока;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;11.май;;;;;;
07.08.2018 20:00;15.янв;720.1;760.9;-0.3;81;Ветер, дующий с юго-востока;2;;;100%.; ;;;;17.июн;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;11.авг;7.0;12;;;;
07.08.2018 23:00;12.май;720.2;761.3;0.1;95;Ветер, дующий с юго-востока;1;;;Облаков нет.; ;;;;;;;;;;;11.июл;;;;;;
08.08.2018 2:00;10.сен;719.5;760.9;-0.7;98;Ветер, дующий с востоко-юго-востока;2;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;;;;;;;;;10.июн;;;;;;
08.08.2018 5:00;10.сен;719.5;760.9;0.0;98;Ветер, дующий с востоко-юго-востока;2;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, неба не видно, начался или усилился в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;;;;;2500 или более, или облаков нет.;;;;10.июн;;;;;;
08.08.2018 8:00;11.май;719.6;760.9;0.1;98;Ветер, дующий с востоко-юго-востока;1;;;100%.;Дымка. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;09.сен;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;2.0;11.фев;Осадков нет;12;Поверхность почвы влажная.;11.0;;
08.08.2018 11:00;19.мар;719.3;759.4;-0.3;65;Ветер, дующий с юго-юго-востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;12.май;;;;;;
08.08.2018 14:00;23.июн;718.5;757.9;-0.8;57;Ветер, дующий с северо-северо-запада;1;;;70 – 80%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;14.май;;;;;;
08.08.2018 17:00;25.июл;718.1;757.2;-0.4;47;Штиль, безветрие;0;;;40%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;40%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;13.апр;;;;;;
08.08.2018 20:00;20.июн;718.7;758.6;0.6;60;Ветер, дующий с юго-востока;2;;;20–30%.; ;;;;26.мар;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;12.апр;Осадков нет;12;;;;
08.08.2018 23:00;16.июн;719.6;760.1;0.9;71;Ветер, дующий с юго-востока;2;;;Облаков нет.; ;;;;;;;;;;;11.мар;;;;;;
09.08.2018 2:00;13.май;719.5;760.4;-0.1;87;Ветер, дующий с юго-востока;2;;;Облаков нет.; ;;;;;;;;;;;11.мар;;;;;;
09.08.2018 5:00;12.фев;719.2;760.4;-0.3;88;Ветер, дующий с востоко-юго-востока;1;;;40%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;10.мар;;;;;;
09.08.2018 8:00;15.0;718.9;759.6;-0.3;72;Ветер, дующий с юго-востока;2;;;60%.; ;;;10.июл;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;09.сен;Осадков нет;12;Поверхность почвы влажная.;10.0;;
09.08.2018 11:00;20.июл;717.8;757.6;-1.1;53;Ветер, дующий с юго-востока;4;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;10.июл;;;;;;
09.08.2018 14:00;26.мар;716.5;755.5;-1.3;40;Ветер, дующий с юго-востока;3;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;11.авг;;;;;;
09.08.2018 17:00;24.май;715.3;754.4;-1.2;56;Ветер, дующий с юго-запада;1;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50.0;15.янв;;;;;;
09.08.2018 20:00;21.янв;715.5;755.1;0.2;62;Ветер, дующий с юго-юго-запада;1;;;100%.; ;;;;27.0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;13.май;Осадков нет;12;;;;
09.08.2018 23:00;18.май;717.1;757.2;01.июн;62;Ветер, дующий с западо-юго-запада;1;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;11.янв;;;;;;
10.08.2018 2:00;16.янв;717.4;757.8;0.3;95;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;;15.мар;;;;;;
10.08.2018 5:00;15.сен;717.4;757.9;0.0;97;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;15.апр;;;;;;
