Местное время в Томпе;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
10.10.2018 20:00;0.4;725.1;768.1;;96;Ветер, дующий с востоко-северо-востока;1;;;Облаков нет.; ;;;;06.фев;;;;;;;-0.2;Осадков нет;12;;;;
11.10.2018 2:00;-0.9;723.4;766.6;;94;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;-1.7;;;;;;
11.10.2018 8:00;-1.6;722.8;766.0;;;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;-3.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;50.0;;Осадков нет;12;;;;
11.10.2018 14:00;01.сен;722.1;764.7;;98;Ветер, дующий с юга;2;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;;;;;;0.5;01.июн;;;;;;
11.10.2018 20:00;02.фев;714.3;764.2;;97;Штиль, безветрие;0;;;70 – 80%.; ;;;;02.фев;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;01.июл;Осадков нет;12;;;;
12.10.2018 2:00;02.янв;722.3;764.8;;98;Ветер, дующий с северо-северо-востока;1;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;01.авг;;;;;;
12.10.2018 8:00;02.фев;715.9;766.0;;100;Ветер, дующий с северо-северо-востока;1;;;100%.;Облака в целом образовывались или развивались. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;02.фев;0.4;12;;;;
12.10.2018 14:00;08.апр;724.0;765.7;;45;Ветер, дующий с северо-востока;2;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-3.0;;;;;;
12.10.2018 20:00;2.0;726.1;769.0;;82;Ветер, дующий с северо-востока;1;;;10%  или менее, но не 0; ;;;;08.апр;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-0.8;Осадков нет;12;;;;
13.10.2018 2:00;-1.3;726.7;770.1;;80;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;-4.3;;;;;;
13.10.2018 8:00;-0.2;727.6;770.8;;62;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;-3.1;;;;;;;50.0;-6.7;Осадков нет;12;;;;
13.10.2018 11:00;-0.2;727.6;770.8;;62;Ветер, дующий с северо-востока;2;;;Облаков нет.; ;;;-3.1;;;;;;;50.0;-6.7;Осадков нет;12;;;;
13.10.2018 14:00;05.авг;727.3;769.4;;50;Ветер, дующий с западо-северо-запада;1;;;Облаков нет.; ;;;;;;;;;;50.0;-4.0;;;;;;
13.10.2018 20:00;-0.4;727.3;770.6;;72;Ветер, дующий с западо-северо-запада;2;;;Облаков нет.; ;;;;06.сен;;;;;;;-4.9;Осадков нет;12;;;;
14.10.2018 2:00;-1.8;727.2;770.7;;73;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;-6.0;;;;;;
14.10.2018 8:00;-4.3;726.9;770.8;;82;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;-4.8;;;;;;;50.0;-7.0;Осадков нет;12;;;;
14.10.2018 14:00;6.0;726.2;768.4;;62;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;50.0;-0.9;;;;;;
14.10.2018 20:00;-2.0;726.8;770.3;;83;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;6.0;;;;;;;-4.5;Осадков нет;12;;;;
15.10.2018 2:00;-2.8;726.8;770.5;;91;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;-4.1;;;;;;
15.10.2018 8:00;-2.2;726.7;770.2;;93;Ветер, дующий с северо-северо-востока;1;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-3.2;Осадков нет;12;;;;
15.10.2018 14:00;09.апр;725.8;767.5;;34;Ветер, дующий с севера;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-5.8;;;;;;
15.10.2018 20:00;0.3;726.1;769.1;;76;Штиль, безветрие;0;;;Облаков нет.; ;;;;09.апр;;;;;;;-3.4;Осадков нет;12;;;;
16.10.2018 2:00;01.апр;726.8;769.7;;74;Ветер, дующий с северо-северо-востока;2;;;Облаков нет.; ;;;;;;;;;;;-2.7;;;;;;
16.10.2018 8:00;-0.1;728.1;771.4;;66;Ветер, дующий с северо-северо-востока;1;;;60%.; ;;;-2.3;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-5.8;Осадков нет;12;;;;
16.10.2018 14:00;6.0;727.9;769.3;;73;Ветер, дующий с западо-юго-запада;2;;;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;01.май;;;;;;
16.10.2018 20:00;0.2;727.1;770.5;;84;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;6.0;;;;;;;-2.2;Осадков нет;12;;;;
17.10.2018 2:00;-2.1;726.3;769.7;;88;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-3.9;;;;;;
17.10.2018 8:00;-2.0;725.4;768.8;;92;Ветер, дующий с северо-востока;1;;;50%.; ;;;-4.1;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-3.2;Осадков нет;12;;;;
17.10.2018 14:00;8.0;724.0;765.7;;53;Ветер, дующий с западо-юго-запада;1;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-1.1;;;;;;
17.10.2018 20:00;-0.4;717.7;767.6;;84;Ветер, дующий с северо-востока;2;;;50%.; ;;;;8.0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-2.8;Осадков нет;12;;;;
18.10.2018 2:00;0.0;724.2;767.2;;80;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.; ;;;;;;;;;;;-3.0;;;;;;
18.10.2018 8:00;-1.0;724.6;768.0;;87;Ветер, дующий с северо-северо-востока;2;;;90  или более, но не 100%; ;;;-2.9;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-2.9;Осадков нет;12;;;;
18.10.2018 14:00;07.июн;724.3;766.2;;47;Ветер, дующий с северо-востока;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-3.1;;;;;;
18.10.2018 20:00;0.7;723.4;766.2;;83;Штиль, безветрие;0;;;Облаков нет.; ;;;;07.июн;;;;;;;-1.9;Осадков нет;12;;;;
19.10.2018 2:00;-2.0;722.7;766.0;;92;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;-3.2;;;;;;
19.10.2018 8:00;-2.1;722.6;765.8;;98;Ветер, дующий с севера;1;;;90  или более, но не 100%; ;;;-3.3;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-2.4;Осадков нет;12;;;;
19.10.2018 14:00;4.0;722.2;764.5;;90;Ветер, дующий с западо-юго-запада;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;02.май;;;;;;
19.10.2018 20:00;-0.4;722.0;765.0;;98;Ветер, дующий с северо-северо-востока;1;;;Облаков нет.;Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение всего соответствующего периода.;;4.0;;;;;;;-0.7;Осадков нет;12;;;;
20.10.2018 2:00;-3.0;721.1;764.4;;100;Ветер, дующий с северо-востока;1;;;Облаков нет.;Туман или ледяной туман на расстоянии в срок наблюдения, простирающийся выше уровня глаз наблюдателя. В течение последнего часа туман на станции не наблюдался. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Туман или ледяной туман или сильная мгла.;;;;;;;;;-3.0;;;;;;
20.10.2018 8:00;-1.6;718.9;761.8;;100;Ветер, дующий с севера;1;;;20–30%.; ;;;-5.3;;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-1.6;Осадков нет;12;;;;
20.10.2018 14:00;6.0;717.1;765.5;;66;Ветер, дующий с западо-юго-запада;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;50.0;0.0;;;;;;
20.10.2018 20:00;03.авг;718.7;760.8;;90;Ветер, дующий с юго-юго-запада;3;;;70 – 80%.; ;;;;6.0;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;02.мар;Осадков нет;12;;;;
21.10.2018 2:00;04.янв;719.1;761.1;;87;Ветер, дующий с юго-востока;1;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;02.янв;;;;;;
21.10.2018 8:00;02.апр;719.2;761.5;;97;Ветер, дующий с северо-северо-востока;2;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;02.фев;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;01.сен;0.5;12;;;;
21.10.2018 14:00;4.0;719.2;761.2;;87;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20.0;2.0;;;;;;
21.10.2018 20:00;02.янв;720.3;761.6;;89;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;4.0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;0.5;0.8;12;;;;
21.10.2018 23:00;02.янв;720.3;761.6;;89;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;4.0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;0.5;0.8;12;;;;
22.10.2018 2:00;0.8;720.4;763.0;0.1;90;Ветер, дующий с северо-северо-востока;1;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-0.6;;;;;;
22.10.2018 8:00;-0.8;719.8;762.6;;96;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-1.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;-1.4;0.5;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;Менее 0.5
22.10.2018 14:00;02.сен;719.2;761.5;;69;Ветер, дующий с западо-юго-запада;2;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-2.2;;;;;;
22.10.2018 20:00;1.0;718.9;761.4;;74;Штиль, безветрие;0;;;90  или более, но не 100%; ;;;;02.сен;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-3.2;Осадков нет;12;;;;
23.10.2018 2:00;2.0;715.3;757.4;;87;Ветер, дующий с юго-юго-востока;2;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;0.1;;;;;;
23.10.2018 8:00;0.4;716.6;759.1;;81;Ветер, дующий с северо-востока;2;;;90  или более, но не 100%; ;;;-0.2;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-2.6;;;;;;
23.10.2018 14:00;04.авг;716.5;758.3;;65;Ветер, дующий с юго-юго-запада;1;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые башенкообразные или хлопьевидные.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-1.2;;;;;;
23.10.2018 20:00;0.6;717.3;759.8;;85;Ветер, дующий с востоко-северо-востока;2;;;50%.; ;;;;04.авг;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-1.7;Осадков нет;12;;;;
24.10.2018 2:00;01.апр;717.7;760.0;;74;Ветер, дующий с северо-востока;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-2.7;;;;;;
24.10.2018 8:00;-0.2;719.8;762.5;;100;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-1.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;-0.2;0.9;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;1.0
24.10.2018 14:00;04.апр;721.1;763.2;;50;Ветер, дующий с востоко-северо-востока;2;;;50%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;10%  или менее, но не 0;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-5.1;;;;;;
24.10.2018 20:00;-1.6;722.8;766.0;;74;Штиль, безветрие;0;;;20–30%.; ;;;;04.апр;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-5.7;Осадков нет;12;;;;
25.10.2018 2:00;-2.8;723.9;767.4;;74;Ветер, дующий с северо-востока;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-6.9;;;;;;
25.10.2018 8:00;-3.0;724.9;768.4;;71;Ветер, дующий с северо-северо-востока;1;;;100%.; ;;;-4.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;-7.6;Осадков нет;12;;;;
25.10.2018 14:00;1.0;724.4;768.1;;48;Ветер, дующий с северо-северо-востока;1;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-8.8;;;;;;
25.10.2018 20:00;-2.2;726.1;769.6;;58;Ветер, дующий с востоко-северо-востока;1;;;70 – 80%.; ;;;;1.0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-9.4;Осадков нет;12;;;;
26.10.2018 2:00;-5.3;725.9;769.9;;76;Ветер, дующий с северо-северо-востока;2;;;20–30%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-9.0;;;;;;
26.10.2018 8:00;-2.8;725.1;768.7;;58;Ветер, дующий с северо-северо-востока;2;;;70 – 80%.; ;;;-5.4;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-9.9;Осадков нет;12;;;;
26.10.2018 14:00;0.2;724.0;767.0;;73;Ветер, дующий с юго-юго-востока;3;10;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-4.2;;;;;;
26.10.2018 20:00;01.июн;722.5;765.2;;71;Ветер, дующий с юго-юго-востока;3;;;100%.; ;;;;01.июн;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-3.2;Осадков нет;12;;;;
27.10.2018 2:00;02.янв;722.5;765.1;;84;Ветер, дующий с юга;3;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высокослоистые просвечивающие.;;;-0.4;;;;;;
27.10.2018 8:00;-0.5;723.5;766.6;;96;Ветер, дующий с северо-востока;1;;;100%.; ;;;-0.7;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;50.0;-1.1;Осадков нет;12;;;;
27.10.2018 14:00;0.3;723.2;766.0;;100;Ветер, дующий с востока;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;2.0;0.3;;;;;;
27.10.2018 20:00;0.2;722.5;765.1;;100;Ветер, дующий с северо-востока;1;;;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;0.3;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;0.2;6.0;12;;;;
28.10.2018 2:00;0.2;722.8;765.6;;100;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и) со снегом слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;0.2;;;;;;
28.10.2018 8:00;0.2;724.0;766.9;;100;Штиль, безветрие;0;;;90  или более, но не 100%;Облака в целом рассеиваются или становятся менее развитыми. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;0.1;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;0.2;8.0;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;7.0
28.10.2018 14:00;02.июн;725.8;768.4;;97;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;02.янв;;;;;;
28.10.2018 20:00;0.8;726.9;769.9;;98;Штиль, безветрие;0;;;100%.; ;;;;02.июн;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;0.5;Осадков нет;12;;;;
29.10.2018 2:00;-0.6;726.8;770.1;;99;Ветер, дующий с севера;1;;;70 – 80%.; ;;;;;;;600-1000;;;;-0.7;;;;;;
29.10.2018 8:00;-1.2;734.5;770.3;;;Ветер, дующий с северо-востока;2;;;100%.; ;;;-1.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;50.0;;Осадков нет;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;5.0
29.10.2018 14:00;0.6;726.7;769.0;;94;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20.0;-0.2;;;;;;
29.10.2018 20:00;-0.4;726.6;769.9;;98;Штиль, безветрие;0;;;100%.; ;;;;0.6;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-0.7;Осадков нет;12;;;;
30.10.2018 2:00;-0.9;726.7;770.1;;99;Ветер, дующий с востоко-северо-востока;1;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-1.0;;;;;;
30.10.2018 8:00;-1.6;727.3;770.7;;;Ветер, дующий с северо-востока;1;;;100%.; ;;;-1.8;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;600-1000;;;4.0;;Осадков нет;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;3.0
