Местное время в Максимово;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
12.07.2019 20:00;20.сен;730.3;760.7;;58;Ветер, дующий с северо-запада;1;;;20–30%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Ливень (ливни).;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;22.апр;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;12.апр;1.0;12;;;;
13.07.2019 8:00;10.янв;732.1;763.8;;100;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, неба не видно, ослабел за последний час. ;Туман или ледяной туман или сильная мгла.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;06.мар;;;;;;;0.5;10.янв;Осадков нет;12;;;;
13.07.2019 20:00;25.сен;728.3;758.2;;30;Штиль, безветрие;0;;;20–30%.; ;;;;26.авг;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;07.фев;Осадков нет;12;;;;
14.07.2019 8:00;13.май;727.3;758.4;;84;Штиль, безветрие;0;;;60%.; ;;;07.янв;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;10.авг;Осадков нет;12;;;;
14.07.2019 20:00;23.авг;723.1;752.8;;58;Штиль, безветрие;0;;;100%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;28.июл;Слоисто-кучевые, образовавшиеся не из кучевых.;60%.;1000-1500;Высокослоистые просвечивающие.;;20.0;15.0;Осадков нет;12;;;;
15.07.2019 8:00;18.май;722.2;752.5;;67;Ветер, дующий с северо-северо-запада;2;;;100%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;18.май;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;10.0;12.фев;Осадков нет;12;;;;
15.07.2019 20:00;21.сен;722.5;752.5;;65;Штиль, безветрие;0;;;100%.;Мгла. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;27.фев;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;4.0;15.0;Осадков нет;12;;;;
16.07.2019 8:00;19.июн;724.1;754.3;;81;Штиль, безветрие;0;;;40%.;Дымка. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;14.апр;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";10%  или менее, но не 0;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4.0;16.мар;Осадков нет;12;;;;
16.07.2019 20:00;24.июн;724.9;754.6;;60;Штиль, безветрие;0;;;100%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;30.янв;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высокослоистые просвечивающие.;;20.0;16.мар;Осадков нет;12;;;;
17.07.2019 8:00;18.авг;725.0;755.3;;88;Штиль, безветрие;0;;;100%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;14.май;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высокослоистые просвечивающие.;Перисто-слоистые, покрывающие все небо.;10.0;16.авг;Осадков нет;12;;;;
17.07.2019 20:00;25.май;722.5;752.1;;75;Штиль, безветрие;0;;;90  или более, но не 100%;Дымка. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;31.авг;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;4.0;20.авг;Следы осадков;12;;;;
18.07.2019 8:00;18.янв;723.4;753.8;;97;Ветер, дующий с юго-запада;1;;;90  или более, но не 100%;Гроза слабая или умеренная без града, но с дождем и/или снегом в срок наблюдения. ;Гроза (грозы) с осадками или без них.;Ливень (ливни).;17.авг;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;17.июн;12.0;12;;;;
18.07.2019 20:00;19.июл;724.0;754.2;;94;Штиль, безветрие;0;;;90  или более, но не 100%;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;21.мар;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;10.0;18.июл;5.0;12;;;;
19.07.2019 8:00;15.апр;724.8;755.5;;72;Ветер, дующий с севера;2;;;90  или более, но не 100%;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение всего соответствующего периода.;14.июл;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;10.мар;Осадков нет;12;;;;
19.07.2019 20:00;19.0;722.8;753.1;;67;Ветер, дующий с севера;1;;;60%.;Мгла. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;20.май;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4.0;12.июн;Осадков нет;12;;;;
20.07.2019 8:00;12.июл;722.8;753.9;;64;Ветер, дующий с северо-запада;2;;;60%.;Мгла. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;07.сен;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4.0;05.сен;Осадков нет;12;;;;
20.07.2019 20:00;18.сен;724.4;754.9;;41;Ветер, дующий с северо-северо-востока;2;;;20–30%.;Мгла. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;22.июл;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4.0;05.апр;Осадков нет;12;;;;
21.07.2019 8:00;10.май;725.1;756.4;;85;Штиль, безветрие;0;;;40%.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;05.мар;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4.0;8.0;Осадков нет;12;;;;
21.07.2019 20:00;20.июл;724.6;754.8;;59;Штиль, безветрие;0;;;20–30%.;Мгла. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;24.янв;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;2.0;12.апр;Осадков нет;12;;;;
22.07.2019 8:00;10.сен;724.9;756.2;;99;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;08.янв;;;;;;;0.5;10.июл;Осадков нет;12;;;;
23.07.2019 8:00;08.фев;715.7;754.8;;100;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;8.0;;;;;;;0.2;08.фев;Осадков нет;12;;;;
23.07.2019 20:00;19.май;721.9;751.9;;86;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Мгла. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;;23.май;;;;;;0.5;17.0;Осадков нет;12;;;;
24.07.2019 8:00;13.мар;723.1;754.0;;100;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;12.фев;;;;;;;0.2;13.мар;Осадков нет;12;;;;
24.07.2019 20:00;20.янв;721.3;751.3;;84;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Мгла. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;;24.0;;;;;;1.0;17.мар;Осадков нет;12;;;;
25.07.2019 8:00;13.май;720.2;751.0;;100;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;11.июн;;;;;;;0.2;13.май;Осадков нет;12;;;;
25.07.2019 20:00;27.мар;716.5;745.6;;42;Штиль, безветрие;0;;;70 – 80%.; ;;;;32.2;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;1000-1500;Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;13.янв;Осадков нет;12;;;;
26.07.2019 8:00;14.июн;716.9;747.4;;88;Штиль, безветрие;0;;;40%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;10.май;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;12.июн;Осадков нет;12;;;;
26.07.2019 20:00;26.июн;714.7;743.8;;31;Ветер, дующий с севера;2;;;40%.; ;;;;33.4;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;08.янв;Осадков нет;12;;;;
27.07.2019 8:00;14.мар;715.4;745.9;;90;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;11.май;;;;;;;2.0;12.июл;Осадков нет;12;;;;
27.07.2019 20:00;22.апр;714.1;743.5;;81;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Мгла. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;;26.янв;;;;;;0.5;18.сен;Осадков нет;12;;;;
28.07.2019 8:00;15.0;717.3;747.0;;93;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Мгла. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;13.сен;;;;;;;0.5;13.авг;Осадков нет;12;;;;
28.07.2019 20:00;23.янв;719.8;749.5;;53;Ветер, дующий с северо-северо-запада;2;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Мгла. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;;26.мар;;;;;;2.0;12.сен;Осадков нет;12;;;;
29.07.2019 8:00;14.июн;725.2;756.1;;90;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Дымка. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;12.мар;;;;;;;4.0;13.0;Осадков нет;12;;;;
29.07.2019 20:00;22.янв;727.6;757.8;;46;Ветер, дующий с севера;2;;10;90  или более, но не 100%;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;25.июн;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;09.авг;Осадков нет;12;;;;
30.07.2019 8:00;13.янв;728.8;760.0;;91;Штиль, безветрие;0;;;70 – 80%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;09.июн;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;4.0;11.июн;Осадков нет;12;;;;
30.07.2019 20:00;21.июн;725.6;755.7;;65;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Мгла. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;;26.апр;;;;;;4.0;14.авг;Осадков нет;12;;;;
31.07.2019 8:00;09.июл;725.9;757.4;;97;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Осадки в поле зрения, достигающие поверхности земли или моря поблизости, но не на самой станции. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;07.янв;;;;;;;0.2;09.мар;Осадков нет;12;;;;
31.07.2019 20:00;22.0;723.1;753.1;;66;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Мгла. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;;25.июл;;;;;;2.0;15.мар;Осадков нет;12;;;;
01.08.2019 8:00;14.май;725.1;755.9;;94;Ветер, дующий с юга;1;;;100%.;Дымка. ;Ливень (ливни).;Туман или ледяной туман или сильная мгла.;11.июл;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;13.июн;0.4;12;;;;
01.08.2019 20:00;19.апр;725.8;756.1;;84;Штиль, безветрие;0;;;90  или более, но не 100%;Ливневый(ые) дождь(и). ;Гроза (грозы) с осадками или без них.;Ливень (ливни).;;24.0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;16.июн;0.9;12;;;;
02.08.2019 8:00;16.апр;727.5;758.2;;96;Штиль, безветрие;0;;;100%.;Клочья приземного или ледяного тумана на станции, на море или на суше, высотой не более 2 м над сушей или не более 10 м над морем. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;15.0;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;10.0;15.июл;3.0;12;;;;
02.08.2019 20:00;24.мар;724.4;754.3;;46;Штиль, безветрие;0;;;20–30%.; ;;;;26.июл;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;11.авг;Осадков нет;12;;;;
03.08.2019 8:00;12.июн;722.4;753.4;;100;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ;Туман или ледяной туман или сильная мгла.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;09.янв;;;;;;;0.2;12.июн;Осадков нет;12;;;;
03.08.2019 20:00;25.0;721.1;750.8;;37;Ветер, дующий с севера;1;;;20–30%.; ;;;;30.апр;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;09.мар;Осадков нет;12;;;;
04.08.2019 8:00;14.июн;727.8;758.8;;79;Ветер, дующий с севера;2;;;20–30%.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;11.авг;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4.0;11.0;Осадков нет;12;;;;
04.08.2019 20:00;22.апр;729.1;759.4;;33;Ветер, дующий с востоко-северо-востока;2;;;Облаков нет.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;25.апр;;;;;;10.0;05.май;Осадков нет;12;;;;
05.08.2019 8:00;08.июл;731.8;763.7;;89;Штиль, безветрие;0;;;Облаков нет.;Дымка. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;04.апр;;;;;;;4.0;7.0;Осадков нет;12;;;;
06.08.2019 8:00;8.0;730.5;762.4;;77;Штиль, безветрие;0;;;Облаков нет.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;02.янв;;;;;;;10.0;04.янв;Осадков нет;12;;;;
06.08.2019 20:00;25.июл;728.2;758.0;;37;Ветер, дующий с севера;1;;;20–30%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;30.авг;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;10.янв;Осадков нет;12;;;;
07.08.2019 8:00;13.фев;730.8;762.0;;84;Штиль, безветрие;0;;;Облаков нет.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;08.фев;;;;;;;20.0;10.май;Осадков нет;12;;;;
07.08.2019 20:00;26.янв;727.8;757.6;;30;Ветер, дующий с северо-северо-запада;1;;;Облаков нет.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;31.4;;;;;;10.0;07.мар;Осадков нет;12;;;;
08.08.2019 20:00;19.май;725.5;755.8;;72;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Мгла. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;25.фев;;;;;;2.0;14.мар;Осадков нет;12;;;;
09.08.2019 8:00;09.янв;725.9;757.5;;95;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Дымка. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;07.мар;;;;;;;1.0;08.мар;Осадков нет;12;;;;
09.08.2019 20:00;21.авг;723.7;753.7;;47;Ветер, дующий с северо-северо-запада;1;;;20–30%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали половину неба или менее в течение всего соответствующего периода.;Облака покрывали половину неба или менее в течение всего соответствующего периода.;;27.авг;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;10%  или менее, но не 0;600-1000;Высококучевые башенкообразные или хлопьевидные.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;10.янв;Осадков нет;12;;;;
10.08.2019 8:00;10.сен;723.7;754.9;;91;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Дымка. ;Туман или ледяной туман или сильная мгла.;Туман или ледяной туман или сильная мгла.;07.авг;;;;;;;4.0;09.май;Осадков нет;12;;;;
10.08.2019 20:00;21.июл;724.0;754.1;;50;Ветер, дующий с северо-северо-запада;1;;;90  или более, но не 100%;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;30.сен;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;10.авг;Следы осадков;12;;;;
11.08.2019 8:00;15.янв;725.0;755.8;;89;Штиль, безветрие;0;;;100%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;12.янв;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перисто-слоистые, покрывающие все небо.;20.0;13.мар;Осадков нет;12;;;;
11.08.2019 20:00;18.янв;719.6;749.8;;96;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;25.май;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4.0;17.апр;9.0;12;;;;
12.08.2019 8:00;18.янв;723.9;754.3;;76;Ветер, дующий с юго-запада;3;;;60%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;10.май;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;13.июл;26.0;12;;;;
