Местное время в Узурах;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
10.12.2018 14:00;-11.5;733.7;779.0;;65;Ветер, дующий с запада;2;;;50%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20.0;-16.8;;;;;;
10.12.2018 20:00;-13.7;733.0;778.6;;75;Ветер, дующий с запада;2;;;20–30%.; ;;;;-10.7;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-17.2;Осадков нет;12;;;;
11.12.2018 2:00;-11.5;730.5;775.6;;76;Ветер, дующий с западо-северо-запада;1;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-15.0;;;;;;
11.12.2018 8:00;-9.4;728.2;772.8;;67;Ветер, дующий с запада;2;;;100%.; ;;;-13.7;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-14.5;Осадков нет;12;;;Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.;6.0
11.12.2018 14:00;-6.5;724.9;768.9;;57;Ветер, дующий с запада;5;;10;100%.;Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20.0;-13.6;;;;;;
11.12.2018 20:00;-7.9;724.9;769.0;;53;Ветер, дующий с запада;6;;11;60%.;Состояние неба в общем не изменилось. ;Метель;Облака покрывали более половины неба в течение всего соответствующего периода.;;-6.3;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;;-15.8;Осадков нет;12;;;;
12.12.2018 2:00;-11.7;726.2;771.1;;60;Ветер, дующий с запада;8;;14;40%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-17.9;;;;;;
12.12.2018 8:00;-11.9;730.6;775.8;;60;Ветер, дующий с запада;6;;;40%.; ;;;-12.4;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-18.1;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;5.0
12.12.2018 14:00;-9.1;731.9;776.7;;52;Ветер, дующий с северо-запада;3;;;20–30%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-17.2;;;;;;
12.12.2018 20:00;-17.7;732.8;775.4;;80;Ветер, дующий с запада;2;;;20–30%.; ;;;;-7.7;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-20.3;Осадков нет;12;;;;
13.12.2018 2:00;-19.1;733.4;780.1;;85;Ветер, дующий с западо-юго-запада;2;;;60%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";;-21.0;;;;;;
13.12.2018 8:00;-11.2;730.4;775.4;;85;Ветер, дующий с западо-юго-запада;2;;;90  или более, но не 100%; ;;;-19.4;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";;-13.2;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;4.0
13.12.2018 14:00;;728.2;773.3;;;Ветер, дующий с востоко-юго-востока;12;;;10%  или менее, но не 0;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20.0;-13.2;;;;;;
13.12.2018 20:00;-7.5;726.7;766.2;;70;Ветер, дующий с юго-востока;3;;;50%.; ;;;;-7.1;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-12.0;Осадков нет;12;;;;
14.12.2018 2:00;-8.6;725.7;765.1;;71;Ветер, дующий с юго-востока;2;;;50%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-12.9;;;;;;
14.12.2018 8:00;-7.7;724.5;768.5;;48;Штиль, безветрие;0;;;70 – 80%.; ;;;-10.5;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-16.8;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;4.0
14.12.2018 14:00;-6.6;722.5;766.3;;64;Ветер, дующий с запада;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-12.4;;;;;;
14.12.2018 20:00;-7.4;720.8;765.8;;62;Ветер, дующий с запада;1;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;-6.0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-13.6;Следы осадков;12;;;;
15.12.2018 2:00;-7.4;720.4;764.2;;68;Ветер, дующий с запада;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-12.4;;;;;;
15.12.2018 8:00;-5.6;719.5;762.6;;71;Ветер, дующий с запада;2;;;90  или более, но не 100%; ;;;-8.6;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-10.1;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;3.0
15.12.2018 14:00;-4.1;720.5;763.8;;60;Ветер, дующий с западо-северо-запада;2;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-10.9;;;;;;
15.12.2018 20:00;-4.4;721.0;764.3;;49;Ветер, дующий с запада;5;;11;90  или более, но не 100%; ;;;;-3.9;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-13.5;Осадков нет;12;;;;
16.12.2018 2:00;-6.1;722.2;765.9;;51;Ветер, дующий с запада;6;;11;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-14.7;;;;;;
16.12.2018 8:00;-2.8;717.1;759.8;;58;Ветер, дующий с запада;5;;11;70 – 80%.; ;;;-6.4;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";;-9.9;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;2.0
16.12.2018 14:00;-3.9;718.3;761.3;;51;Ветер, дующий с запада;7;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-12.6;;;;;;
16.12.2018 20:00;-7.4;721.4;765.2;;49;Ветер, дующий с запада;3;;;70 – 80%.; ;;;;-2.4;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-16.3;Осадков нет;12;;;;
17.12.2018 2:00;-9.3;722.8;767.1;;55;Ветер, дующий с запада;5;;;50%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.;;-16.8;;;;;;
17.12.2018 8:00;-8.7;720.4;764.5;;54;Ветер, дующий с запада;2;;;70 – 80%.; ;;;-9.8;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-16.5;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;2.0
17.12.2018 14:00;-8.3;721.0;764.9;;52;Ветер, дующий с запада;2;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-16.5;;;;;;
17.12.2018 20:00;-7.7;720.0;763.8;;54;Ветер, дующий с запада;3;;;70 – 80%.; ;;;;-7.6;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-15.5;Осадков нет;12;;;;
18.12.2018 2:00;-6.4;718.7;762.1;;53;Ветер, дующий с запада;3;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-14.6;;;;;;
18.12.2018 8:00;-4.6;717.4;760.5;;49;Ветер, дующий с запада;4;;;100%.; ;;;-8.3;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-13.9;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;2.0
18.12.2018 14:00;-3.9;717.0;760.0;;53;Ветер, дующий с запада;7;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50.0;-12.1;;;;;;
18.12.2018 20:00;-4.4;718.3;761.5;;56;Ветер, дующий с запада;3;;;90  или более, но не 100%; ;;;;-3.5;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-11.9;Осадков нет;12;;;;
19.12.2018 2:00;-4.8;718.2;761.4;;55;Ветер, дующий с запада;4;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-12.5;;;;;;
19.12.2018 8:00;-4.0;718.3;761.3;;57;Ветер, дующий с запада;4;;;70 – 80%.; ;;;-5.2;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-11.3;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;1.0
19.12.2018 14:00;-2.4;718.3;761.1;;54;Ветер, дующий с запада;3;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50.0;-10.6;;;;;;
19.12.2018 20:00;-6.9;717.4;760.8;;59;Ветер, дующий с запада;2;;;70 – 80%.; ;;;;-2.4;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-13.7;Осадков нет;12;;;;
20.12.2018 2:00;-8.8;716.0;759.7;;65;Ветер, дующий с запада;1;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-14.2;;;;;;
20.12.2018 8:00;-12.9;715.4;760.0;;85;Ветер, дующий с запада;2;;;20–30%.; ;;;-13.6;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-14.9;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;Менее 0.5
20.12.2018 14:00;-3.4;715.3;758.0;;55;Ветер, дующий с запада;1;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-11.3;;;;;;
20.12.2018 20:00;-7.7;715.9;759.5;;57;Ветер, дующий с запада;1;;;100%.; ;;;;-3.1;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-14.9;Осадков нет;12;;;;
21.12.2018 2:00;-6.4;718.0;761.5;;53;Ветер, дующий с запада;8;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-14.6;;;;;;
21.12.2018 5:00;-6.4;718.0;761.5;;53;Ветер, дующий с запада;8;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-14.6;;;;;;
21.12.2018 8:00;-9.3;721.8;765.9;03.авг;52;Ветер, дующий с запада;10;;;100%.; ;;;-9.8;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;-17.5;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;Менее 0.5
21.12.2018 14:00;-12.7;725.5;770.5;;40;Ветер, дующий с запада;13;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";50.0;-23.5;;;;;;
21.12.2018 20:00;-16.1;729.9;775.8;;45;Ветер, дующий с запада;10;;;90  или более, но не 100%; ;;;;-9.1;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;;-25.3;Осадков нет;12;;;;
22.12.2018 2:00;-18.7;731.2;762.7;;60;Ветер, дующий с запада;3;;;40%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перистых, перисто-кучевых или перисто-слоистых нет.;;-24.5;;;;;;
22.12.2018 8:00;-17.4;728.7;774.8;;50;Ветер, дующий с запада;2;;;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-25.4;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;Менее 0.5
22.12.2018 14:00;-12.5;726.0;771.0;;35;Ветер, дующий с западо-юго-запада;2;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высокослоистые просвечивающие.;;20.0;-24.8;;;;;;
22.12.2018 20:00;-12.7;724.6;769.6;;45;Ветер, дующий с запада;3;;;90  или более, но не 100%; ;;;;-12.1;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;-22.2;Осадков нет;12;;;;
23.12.2018 2:00;-11.2;722.8;767.3;;45;Ветер, дующий с запада;3;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-20.8;;;;;;
23.12.2018 8:00;-8.3;720.7;764.6;;49;Ветер, дующий с запада;2;;;70 – 80%.; ;;;-12.9;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-17.2;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;Менее 0.5
23.12.2018 14:00;-7.4;719.4;763.0;;49;Ветер, дующий с запада;1;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высокослоистые просвечивающие.;;50.0;-16.3;;;;;;
23.12.2018 20:00;-9.7;719.4;763.5;;47;Ветер, дующий с запада;2;;;100%.; ;;;;-7.2;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высокослоистые просвечивающие.;;;-18.9;Осадков нет;12;;;;
24.12.2018 2:00;-13.8;720.4;765.3;;45;Ветер, дующий с запада;7;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;50%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-23.2;;;;;;
24.12.2018 8:00;-19.3;723.2;769.2;;45;Ветер, дующий с запада;8;;;60%.; ;;;-19.3;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;-28.3;Осадков нет;12;;;Сухой рассыпчатый снег покрывает по крайней мере половину поверхности почвы (но не полностью).;Менее 0.5
